ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	source
GO:1903504	regulation of mitotic spindle checkpoint	12/991	32/18842	0.375	7.12991927346115	8.17697883485486	3.56007576641388e-08	1.71583979561587e-06	1.71583979561587e-06	USP44/SKA1/INCENP/AURKB/CDCA8/CCNB1/NDC80/MAD2L1/SKA3/XRCC3/KNL1/BIRC5	12	GO:BP
GO:0090307	mitotic spindle assembly	18/991	74/18842	0.243243243243243	4.62481250170453	7.36122235826545	3.60603006219092e-08	1.72385827363273e-06	1.72385827363273e-06	KIF23/MISP/KIF4B/INCENP/KIF4A/AURKB/RACGAP1/CDCA8/HSPA1B/UHRF1/RAB11A/PLK1/PRC1/TPX2/KIF15/KIF11/KIFC1/BIRC5	18	GO:BP
GO:0051382	kinetochore assembly	12/991	33/18842	0.363636363636364	6.9138611136593	8.01129574968815	5.32736755575659e-08	2.5059936982279e-06	2.5059936982279e-06	CENPF/DLGAP5/CENPE/CENPW/ITGB3BP/CENPI/HJURP/CENPP/CENPH/CENPA/OIP5/CENPK	12	GO:BP
GO:0090231	regulation of spindle checkpoint	12/991	33/18842	0.363636363636364	6.9138611136593	8.01129574968815	5.32736755575659e-08	2.5059936982279e-06	2.5059936982279e-06	USP44/SKA1/INCENP/AURKB/CDCA8/CCNB1/NDC80/MAD2L1/SKA3/XRCC3/KNL1/BIRC5	12	GO:BP
GO:0032200	telomere organization	30/991	190/18842	0.157894736842105	3.00207127303627	6.53508375961035	6.5413388318061e-08	3.05262478817618e-06	3.05262478817618e-06	H4C9/H3C11/H4C1/PCNA/AURKB/H4C12/BRCA2/BLM/H3C1/H3C4/H3C8/RAD51/H4C2/H4C3/H4C13/H4C6/PARP1/NEK2/H4C15/H4C11/LIG1/XRCC3/H4C4/H4C14/EXO1/H3C7/H3C12/FEN1/H3C10/RECQL4	30	GO:BP
GO:0002227	innate immune response in mucosa	12/991	34/18842	0.352941176470588	6.7105122573752	7.85236982639054	7.84032512425944e-08	3.63000879768862e-06	3.63000879768862e-06	H2BC13/H2BC8/H2BC5/H2BC11/H2BC26/H2BC18/H2BC7/H2BC9/H2BC17/H2BC12L/H2BC10/H2BC14	12	GO:BP
GO:0055001	muscle cell development	26/991	151/18842	0.172185430463576	3.27378191805722	6.60965117915146	8.32062175199261e-08	3.82228561732161e-06	3.82228561732161e-06	MYLK3/BMP4/MYORG/DMD/MYPN/NEB/CXADR/PGM5/KRT19/CHRNB1/TMOD1/TTN/PDLIM5/CCNB1/RGS2/EDN1/CDK1/COL6A1/VEGFA/MYH11/ASB2/ACTC1/TPM1/RGS4/CSRP1/ANK2	26	GO:BP
GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	10/991	23/18842	0.434782608695652	8.2665730706796	8.2158560043462	9.4602068248658e-08	4.31209427365976e-06	4.31209427365976e-06	FBXO5/DTL/PIM1/CCNB1/CDC25B/RAB11A/CDC25C/CDK1/RRM1/CDC7	10	GO:BP
GO:0051147	regulation of muscle cell differentiation	25/991	143/18842	0.174825174825175	3.32397168925928	6.57275112400556	1.0827452076512e-07	4.89733986229929e-06	4.89733986229929e-06	SIK1/NOTCH2/MYLK3/TMEM119/BMP4/NFATC2/SRF/KIT/CCN3/SOX6/EREG/RGS2/PDGFB/EDN1/BDNF/DKK1/BHLHE41/BMP2/FZD7/GPER1/EFNB2/MYOCD/RGS4/MAPK14/NRG1	25	GO:BP
GO:0044774	mitotic DNA integrity checkpoint signaling	17/991	71/18842	0.23943661971831	4.55243671920524	7.06593026478572	1.10561940189474e-07	4.92503188116746e-06	4.92503188116746e-06	BRCA1/DTL/CDC6/BRSK1/TIPIN/BLM/EME1/STK33/TIMELESS/PLK1/CDK1/FANCD2/TICRR/ORC1/CLSPN/CDKN1A/CDC7	17	GO:BP
GO:0045132	meiotic chromosome segregation	17/991	71/18842	0.23943661971831	4.55243671920524	7.06593026478572	1.10561940189474e-07	4.92503188116746e-06	4.92503188116746e-06	SGO1/MND1/SGO2/SKA1/PSMC3IP/NUF2/PTTG1/NDC80/TRIP13/SKA3/TTK/FANCD2/ESPL1/NCAPH2/KNL1/SMC4/NCAPH	17	GO:BP
GO:0060623	regulation of chromosome condensation	7/991	10/18842	0.7	13.3091826437941	9.17357297493565	1.13802217142352e-07	5.03125591576715e-06	5.03125591576715e-06	NCAPD2/NCAPG/CCNB1/CTPS1/SMC4/NCAPH/SMC2	7	GO:BP
GO:0045840	positive regulation of mitotic nuclear division	13/991	43/18842	0.302325581395349	5.74815197240279	7.3442760386369	1.82428767547459e-07	8.00508323267956e-06	8.00508323267956e-06	CDC20/DLGAP5/SKA1/EREG/PDGFB/EDN1/PLK1/SKA3/AURKA/ESPL1/NUSAP1/UBE2C/EGF	13	GO:BP
GO:0071897	DNA biosynthetic process	26/991	157/18842	0.165605095541401	3.1486692332907	6.36986704136075	1.85827934793557e-07	8.09383893767492e-06	8.09383893767492e-06	CCNA2/JADE2/CENPF/PCLAF/DTL/HROB/PCNA/TYMS/RFC5/POLD1/CHTF18/DSCC1/RFC2/POLE2/POLE/TK1/PDGFB/NOX4/VEGFA/POLA1/LIG1/CCN2/POLQ/RFC3/CDKN1A/RRM1	26	GO:BP
GO:0030219	megakaryocyte differentiation	15/991	58/18842	0.258620689655172	4.91718570583528	7.03965936622748	2.07421404652742e-07	8.9679254364568e-06	8.9679254364568e-06	H4C9/H4C1/KIT/H4C12/HMGB2/H4C2/H4C3/SH2B3/H4C13/H4C6/H4C15/H4C11/H4C4/RAB7B/H4C14	15	GO:BP
GO:0031507	heterochromatin formation	32/991	223/18842	0.143497757847534	2.72833981166824	6.11731601679637	2.34479433224991e-07	1.00637888128682e-05	1.00637888128682e-05	LMNB1/H2AC16/H3C11/H3C15/H2AC13/H2AC7/LMNB2/H2AC15/H3C13/HELLS/LBR/H2AC8/PHF19/SUV39H1/H2AC12/H2AC21/H3C1/H3C4/H3C8/UHRF1/H2AC17/H3C14/H2AC4/H2AC11/CENPA/H2AX/OIP5/H2AZ2/H1-2/H3C7/H3C12/H3C10	32	GO:BP
GO:0051153	regulation of striated muscle cell differentiation	18/991	83/18842	0.216867469879518	4.12332680874862	6.71906991976678	2.3674311571168e-07	1.00873153651064e-05	1.00873153651064e-05	SIK1/MYLK3/TMEM119/BMP4/CCN3/SOX6/RGS2/EDN1/BDNF/DKK1/BHLHE41/BMP2/FZD7/EFNB2/MYOCD/RGS4/MAPK14/NRG1	18	GO:BP
