gene	degree	betweenness
VIT	0	0
LINC02015	0	0
MCM6	0	0
TMEM263	0	0
SCN1A	0	0
H2AC21	0	0
PDLIM5	0	0
FEN1	0	0
BRCA2	0	0
ZFP36L1	0	0
ANKRD46	0	0
FAM66B	0	0
GVINP1	0	0
WDR76	0	0
FZD5	0	0
LTBP1	0	0
MAP7	0	0
S1PR1	0	0
AGFG2	0	0
H4C13	0	0
BORA	0	0
H2AC7	0	0
SLC20A1	0	0
PLEKHH1	0	0
CEP72	0	0
LCE2A	0	0
ADAM32	0	0
TAFA2	0	0
C5orf46	0	0
ZBED2	0	0
ARHGAP33	0	0
SYTL2	0	0
SIK1	0	0
EFHD1	0	0
MCM3	0	0
SLIT2	0	0
CDH8	0	0
S1PR3	0	0
HJURP	0	0
SPC25	0	0
TMEM119	0	0
SGO2	0	0
PKMYT1	0	0
PKD1L2	0	0
MX1	0	0
XRCC3	0	0
TMPO-AS1	0	0
ZNF620	0	0
H3C7	0	0
BPESC1	0	0
RSAD2	0	0
PCNA	0	0
KIF14	0	0
NCAM2	0	0
RN7SL473P	0	0
KIF18B	0	0
BMP2	0	0
NRSN2	0	0
FLRT3	0	0
RRM2	0	0
HPSE	0	0
COQ2	0	0
IMPG2	0	0
LINC01615	0	0
THBS4	0	0
P2RY12	0	0
POPDC3	0	0
UPK3BL1	0	0
TP53INP1	0	0
DSN1	0	0
ACTG2	0	0
TNFSF12-TNFSF13	0	0
H2AX	0	0
SLCO4A1	0	0
TRAIP	0	0
SAMD3	0	0
TMEM200A	0	0
RCN2	0	0
DUSP4	0	0
AURKB	0	0
FUNDC1	0	0
CENPP	0	0
PLXNC1	0	0
RPIA	0	0
GOLGA8F	0	0
EFHD2	0	0
DYNLT5	0	0
PHF19	0	0
SPON2	0	0
PGM5	0	0
NPPB	0	0
ACVRL1	0	0
RIPOR3	0	0
CCDC92	0	0
FANCG	0	0
PPP1R13L	0	0
KIF20B	0	0
CEP55	0	0
DMC1	0	0
CDKN1A	0	0
SOX4	0	0
FZD7	0	0
FPGT	0	0
TNS2-AS1	0	0
MGAM	0	0
CHRNB1	0	0
PEDS1-UBE2V1	0	0
STEAP1	0	0
