gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
5-hydroxytryptamine (serotonin) receptor 1A	0.847337549999999	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 1B	-0.03804165	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 1D	-0.703247650000001	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 1E	0.602195749999999	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 1F	-0.0429692250000003	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 2A	0.0254221249999998	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 2B	-0.545762675	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 2C	0.0454279499999997	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 3 family member D	0.838742874999999	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 3, family member C	-0.450823975	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 3, family member E	0.287152224999999	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 3A	-0.178455700000001	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 3B	-0.148379825	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 4	-0.0521879999999994	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 5A	0.0404067999999998	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 6	0.1353692	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	0.573880574999999	1	1	1	UP
5-methyltetrahydrofolate-homocysteine methyltransferase	0.474864124999999	1	1	1	UP
5-methyltetrahydrofolate-homocysteine methyltransferase reductase	-0.485188875000001	1	1	1	DOWN
5-oxoprolinase (ATP-hydrolysing)	0.258922124999999	1	1	1	UP
6-Mar	-0.0851761286465112	1	1	1	DOWN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	-0.565189025000001	1	1	1	DOWN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	-0.831074250000001	1	1	1	DOWN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	0.31276025	1	1	1	UP
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	-0.7667561	1	1	1	DOWN
6-phosphogluconolactonase	0.204183749999999	1	1	1	UP
6-pyruvoyltetrahydropterin synthase	-0.569063250000001	1	1	1	DOWN
60S ribosomal protein L30-like	0.304714	1	1	1	UP
60S ribosomal protein L36-like	-0.158902875000001	1	1	1	DOWN
7-Mar	-0.0260517538075775	1	1	1	DOWN
7-dehydrocholesterol reductase	-0.63029625	1	1	1	DOWN
7SK	0.372172875545924	1	1	1	UP
8-Mar	-0.743249981287665	1	1	1	DOWN
8-oxoguanine DNA glycosylase	0.223741424999999	1	1	1	UP
9-Mar	0.565723590807316	1	1	1	UP
A kinase (PRKA) anchor protein (yotiao) 9	-1.2303746	1	1	1	DOWN
A kinase (PRKA) anchor protein 1	0.437387499999999	1	1	1	UP
A kinase (PRKA) anchor protein 10	-0.262409225000002	1	1	1	DOWN
A kinase (PRKA) anchor protein 11	0.800726424999999	1	1	1	UP
A kinase (PRKA) anchor protein 12	1.571035	1	1	1	UP
A kinase (PRKA) anchor protein 13	-0.3923675	1	1	1	DOWN
A kinase (PRKA) anchor protein 14	-0.12091155	1	1	1	DOWN
A kinase (PRKA) anchor protein 17A	0.959359374999999	0.284526687784391	1	1	UP
A kinase (PRKA) anchor protein 2	-0.565127150000001	1	1	1	DOWN
A kinase (PRKA) anchor protein 3	-0.0257783500000002	1	1	1	DOWN
A kinase (PRKA) anchor protein 4	-0.664300625000002	1	1	1	DOWN
A kinase (PRKA) anchor protein 5	-2.01000425	1	1	1	DOWN
A kinase (PRKA) anchor protein 6	0.62354485	1	1	1	UP
A kinase (PRKA) anchor protein 7	0.117655249999999	1	1	1	UP
A kinase (PRKA) anchor protein 8	0.311245174999999	1	1	1	UP
A kinase (PRKA) anchor protein 8-like	0.235221249999999	1	1	1	UP
A kinase (PRKA) interacting protein 1	0.303315499999999	1	1	1	UP
A1BG	-0.219887927660298	1	1	8	UP
A1BG-AS1	-0.0042881242281762	1	1	6	UP
A1CF	0.0791678052553703	1	1	6	UP
A2LD1	-0.63116235	1	1	1	DOWN
A2M	0.234504080735766	0.167219517535197	1	9	UP
A2M-AS1	0.528901472025276	1	1	4	UP
A2ML1	0.252709665125141	1	1	7	UP
A2ML1-AS1	0.0519786666666651	1	1	1	UP
A2ML1-AS2	-0.0965463333333353	1	1	1	DOWN
A2MP1	0.613234183597697	1	1	5	UP
A3GALT2	-0.0190431802333333	1	1	2	UP
A4GALT	-0.0823146947046506	1	1	8	UP
A4GNT	0.0233960441225126	1	1	6	UP
AA06	0.093272679977583	1	1	4	UP
AAA1	0.21039725	1	1	1	UP
AAAS	0.0830767381414877	0.124016826027123	1	10	UP
AACS	-0.391422947542092	0.00644357529560462	0.174051403863481	10	DOWN
AACSP1	-0.109248795518592	1	1	4	UP
AADAC	-0.49323333453592	0.0550197047780151	0.651945816890179	9	DOWN
AADACL2	-0.302831436598427	0.227581704520143	1	7	DOWN
AADACL3	0.0279827588583328	1	1	4	UP
AADACL4	-0.337111855991667	0.919117338024845	1	4	DOWN
AADACP1	-0.27165824769828	1	1	3	DOWN
AADAT	-0.0390687811019781	0.526403165077155	1	8	DOWN
AAED1	-0.19768849033896	0.355971452014549	1	5	DOWN
AAGAB	-0.0127903921730124	0.0603330087493701	0.692940021748593	10	DOWN
AAK1	-0.165698052390019	0.0448548861685142	0.570971078383945	10	DOWN
AAMDC	-0.0799772970261673	0.0748126441438718	0.798017939812436	7	DOWN
AAMP	0.127627214673335	0.0521244773974241	0.629164347492193	10	UP
AANAT	-0.434062365067409	1	1	7	UP
AAR2	-0.12909810727347	1	1	8	UP
AARD	-0.0827832732929388	1	1	6	UP
AARS	-0.158967894515215	0.410636762630711	1	8	DOWN
AARS1	0.189541528308558	0.934079945019002	1	2	UP
AARS2	0.0809028494445802	0.00712023681797865	0.185200845066235	11	UP
AARSD1	0.262731252340131	0.172212257331936	1	7	UP
AASDH	-0.0729057052257268	0.0114216262890522	0.245920341430562	10	DOWN
AASDHPPT	-0.25566934335832	0.000182909942143832	0.0274096539101099	10	DOWN
AASS	-0.318916124354593	0.189101076965419	1	10	DOWN
AATBC	0.828145968518956	1	1	1	UP
AATF	0.114732425946827	0.0734655732391936	0.788639462670403	10	UP
AATK	0.112227570279745	0.233166350556536	1	9	UP
AATK-AS1	0.057655505733333	1	1	4	UP
AB019441.29	-0.0993782157898016	1	1	1	DOWN
AB074162	0.192948163331468	1	1	2	UP
AB488780	-0.387008002210818	1	1	2	DOWN
ABALON	-0.393664335136287	1	1	2	DOWN
ABAT	-0.265395844403669	0.00847689015227351	0.205590690153244	10	DOWN
ABC10-44372100G24.1	0.017904139813155	1	1	1	UP
ABC12-46663800M24.2	-0.0524336069864036	1	1	1	DOWN
ABC13-47656900H15.1	-0.332124296467073	1	1	1	DOWN
ABCA1	-0.458238307989648	0.00024187664921399	0.0308782363830071	10	DOWN
ABCA10	-1.34265433017151	0.176943568057081	1	6	DOWN
ABCA11P	-0.157104795811518	1	1	7	UP
ABCA12	-0.0799969008516246	1	1	6	UP
ABCA13	0.717455602955377	0.370599222884984	1	7	UP
ABCA17P	-0.061677352706004	1	1	5	UP
ABCA2	0.112937906426205	0.578931756858484	1	10	DOWN
ABCA3	-0.22844501555102	0.0478654917988179	0.594883865835748	10	DOWN
ABCA4	0.0644391028396943	1	1	7	UP
ABCA5	-0.159865813407316	0.0145601776883027	0.28533498899706	10	DOWN
ABCA6	-0.526152878014783	0.11365050874102	1	9	DOWN
ABCA7	0.437598097273966	0.00671661846133309	0.178793852322825	10	UP
ABCA8	-0.124024712072361	0.0283996377320801	0.427025018497483	9	UP
ABCA9	0.0717001793920203	0.0271926776301095	0.415713787279869	9	DOWN
ABCA9-AS1	0.300535999999999	1	1	1	UP
ABCB1	0.218722866503732	0.302586710327814	1	8	UP
ABCB10	-0.329988555715296	0.00967785061083187	0.223017673500462	11	DOWN
ABCB11	0.188751665060767	1	1	6	UP
ABCB4	0.209737033056398	0.560127551628652	1	8	UP
ABCB5	0.264311536780051	1	1	7	UP
ABCB6	-0.297622487867543	0.000313051331800264	0.0341651805820984	10	DOWN
ABCB7	-0.107194119394062	0.0118314293675486	0.251324965920028	10	DOWN
ABCB8	-0.122964630454438	0.083515677619009	0.857115482880773	10	DOWN
ABCB9	-0.146329413832532	0.630580817607831	1	9	DOWN
ABCC1	0.0495344804924482	0.0495560599659078	0.609999693250154	10	UP
ABCC10	-0.0352512346213119	0.648006123075355	1	10	DOWN
ABCC11	-0.226750248759829	1	1	6	UP
ABCC12	-0.202314662596304	1	1	6	UP
ABCC13	0.506509738713614	1	1	6	UP
ABCC2	0.470719291634749	0.0479070780792329	0.595058864303579	8	UP
ABCC3	0.0630432601722632	1	1	10	UP
ABCC4	-0.561808782134837	1.55633064661753e-05	0.00972902830267884	10	DOWN
ABCC5	0.0792504931692402	0.00721598334842202	0.186712000448387	10	UP
ABCC5-AS1	0.131578999999999	1	1	1	UP
ABCC6	0.0512319235960826	1	1	7	UP
ABCC6P1	-0.193630084032553	1	1	4	UP
ABCC6P2	-0.0375726666666674	1	1	1	DOWN
ABCC8	0.0232294413661738	1	1	6	UP
ABCC9	-0.150882193730227	0.0703412457974959	0.767480973141056	8	UP
ABCD1	-0.148779377832618	0.0402980916514633	0.531803270880318	10	DOWN
ABCD1P2	0.277678946844622	1	1	2	UP
ABCD2	0.0938351303799188	0.481630267770133	1	7	UP
ABCD3	-0.210384273932273	0.00168841732621107	0.0832348342590072	10	DOWN
ABCD4	0.156455519490802	0.158856169288664	1	10	UP
ABCE1	-0.242250216073644	0.00075614279662311	0.0530155161553187	10	DOWN
ABCF1	0.0331037010729129	0.159276144164667	1	9	UP
ABCF2	0.0796703985922262	0.0337764355303223	0.474797626436257	10	DOWN
ABCF2-H2BE1	0.0185279423537827	1	1	1	UP
ABCF2-H2BK1	0.249871139701302	1	1	1	UP
ABCF3	0.00610916041902672	0.305245618958669	1	10	UP
ABCG1	0.533991909349146	0.0206731648472149	0.353181586237219	8	UP
ABCG2	-0.23726291065826	0.325476850828043	1	8	DOWN
ABCG4	-0.151170040720504	1	1	8	UP
ABCG5	0.129313637615761	1	1	6	UP
ABCG8	0.172364875046466	1	1	6	UP
ABHD1	-0.163566052922633	1	1	7	UP
ABHD10	-0.137982642715679	0.175420149592761	1	10	DOWN
ABHD11	-0.29514480907386	0.0011929885014053	0.0681616087707682	10	DOWN
ABHD11-AS1	-0.736236613916368	1	1	3	DOWN
ABHD12	-0.411762809523723	0.0248925755713791	0.394075057832495	10	DOWN
ABHD12B	0.282911423468941	1	1	6	UP
ABHD13	0.0657072206986875	0.0112788413475708	0.243823588618747	11	UP
ABHD14A	-0.219075008897378	0.0437017558166849	0.561562210819688	9	DOWN
ABHD14A-ACY1	-0.215657871229738	1	1	3	UP
ABHD14B	-0.0203971227792907	0.0318803027571937	0.457656449654118	10	DOWN
ABHD15	-0.0477881872965075	0.623802015524808	1	11	UP
ABHD16A	0.416543177178752	0.0049502183990812	0.149208568358043	9	UP
ABHD16B	0.133282712937789	0.296375891890032	1	8	UP
ABHD17A	0.288108560804794	0.871958855552277	1	7	DOWN
ABHD17AP1	-0.685727022755666	1	1	1	DOWN
ABHD17AP4	-0.110885681316667	1	1	2	DOWN
ABHD17B	0.321371707879776	0.218384790274153	1	8	UP
ABHD17C	0.00161656518841816	1	1	8	UP
ABHD18	-0.482891464847695	1	1	3	DOWN
ABHD2	0.373938290932927	0.160456527940362	1	10	UP
ABHD3	0.412427904189877	0.00934054624807238	0.21843547167372	9	UP
ABHD4	-0.251344121699215	0.0208712500201818	0.354720650902747	10	DOWN
ABHD5	-0.286694027277137	0.000523702316170368	0.0436262209405528	10	DOWN
ABHD6	-0.325968388907922	0.00868534321269486	0.208285841905987	10	DOWN
ABHD8	0.0383871151192558	0.00302108374854614	0.114987176656167	11	DOWN
ABI family, member 3	0.103789275	1	1	1	UP
ABI family, member 3 (NESH) binding protein	0.53167055	1	1	1	UP
ABI1	0.395679765506634	4.92428384936468e-06	0.0060052045172826	10	UP
ABI2	-0.399721270094741	0.0173551289940968	0.317996726386905	9	DOWN
ABI3	0.511317521685801	0.600672710461448	1	8	UP
ABI3BP	0.00123230834020973	0.015784654264414	0.299393276575665	8	UP
ABITRAM	0.232712121359762	1	1	3	UP
ABL1	-0.0545848431050951	0.140824130745775	1	10	UP
ABL2	-0.0450215274107983	0.120318645014276	1	10	UP
ABLIM1	0.289978989493056	0.000278371647363141	0.0324006151099519	11	UP
ABLIM2	-0.243288968962411	0.299057138058738	1	8	DOWN
ABLIM3	-0.154141974050386	0.477131390055724	1	9	UP
ABO	-0.0696153769447047	0.19701723861873	1	9	DOWN
ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	0.999414499999999	0.602655660083566	1	1	UP
ABP1	0.270496591666666	1	1	2	UP
ABR	0.445683691750715	0.000128052397440822	0.0236611944518307	10	UP
ABRA	-0.571717848814784	0.0303221084191309	0.444202765911609	7	DOWN
