gene	log2FC	p	padj	n
TSPAN6	0.662067543712396	1.46115013658526e-25	1.07780735981606e-24	6
DPM1	0.197764584370124	0.000869234279742869	0.00168919446947015	6
SCYL3	0.084043667976561	0.612670014978501	0.662365645869701	6
FIRRM	0.14877404621846	0.0898718198900435	0.120753298628658	6
FUCA2	0.20485873170586	3.57757913051256e-05	8.2310938894129e-05	6
GCLC	-0.366756443698188	0.000132684345984125	0.000286472933006641	6
NFYA	-0.407081197184593	2.1656054353504e-07	6.12123018671344e-07	6
STPG1	0.212174302250466	0.0930890264469208	0.124524090491075	6
NIPAL3	-0.226465626400502	4.40721440801986e-05	0.000100471751640217	6
LAS1L	-0.112440164246138	0.0309619241803056	0.0456995045109026	6
ENPP4	0.412717710669984	0.000161843883343968	0.000345903826428129	6
SEMA3F	0.385567036192216	0.0649292858206337	0.0897516037615393	6
ANKIB1	-0.116489719563707	0.0291225289823581	0.0432405090364197	6
CYP51A1	2.64809701712325	3.2034562609176e-82	1.12055740384722e-80	6
KRIT1	0.0437688983813418	0.507078348556183	0.562607703410631	6
RAD52	-0.353045695695995	0.00261842447461364	0.00471670287801485	6
BAD	0.650314451364506	1.78947657294127e-06	4.6798202459819e-06	6
LAP3	-0.230507108080007	0.00206157717609177	0.00377609817788827	6
MAD1L1	-0.407020695728792	4.48984535273091e-07	1.23959819640308e-06	6
LASP1	0.0389023597282802	0.390257045809481	0.44867371990336	6
SNX11	0.295562764439049	2.75752561328894e-05	6.42665329979737e-05	6
M6PR	0.263082588512649	1.44835152585328e-08	4.48666859170859e-08	6
KLHL13	0.971872785194116	0.00311249671784589	0.00552875824386664	6
CYP26B1	-0.139007503339351	0.341895730139507	0.399610665534239	6
DBNDD1	0.152852461955836	0.148206400340868	0.189922847548294	6
ALS2	0.0582061254227718	0.3072774828096	0.364354410746164	6
CASP10	0.754092926854113	2.00560627186016e-10	7.0506317801796e-10	6
CFLAR	0.232005890077603	0.00449650250161855	0.00774600837632584	6
TFPI	0.230261885647467	6.33522387565179e-05	0.000142057862714217	6
NDUFAF7	0.550809954596654	1.37060554088407e-10	4.86588571012827e-10	6
RBM5	-0.11069744963795	0.0865511284170401	0.1167481239274	6
MTMR7	-0.516548740561231	0.0395183010881183	0.0570700964994766	6
SLC7A2	1.06127182509046	2.74629567288811e-31	2.54864810315264e-30	6
ARF5	1.52558075642773	1.51391380139536e-130	1.09890240767012e-128	6
SARM1	-0.167457368994861	0.151518192686623	0.193717256026451	6
POLDIP2	0.137819561820331	0.0092352295968476	0.0150714376092276	6
PLXND1	0.841273062249579	1.96132069167022e-07	5.55791407879642e-07	6
AK2	-0.139420173250946	0.00370391767997628	0.00647808498304449	6
