gene	log2FC	p	padj	n
A_33_P3371999	7.51642875	1.36677373349743e-09	3.64112914750114e-05	8
A_33_P3293593	5.570503125	2.13037424889632e-09	3.64112914750114e-05	8
A_23_P210224	6.828014675	9.08788664333451e-09	8.85958305042276e-05	8
A_23_P163227	5.764719325	1.03672387448998e-08	8.85958305042276e-05	8
A_33_P3418005	4.070613125	2.28160288728212e-08	0.000127576703173051	8
A_33_P3258777	5.098737	2.54209456898959e-08	0.000127576703173051	8
A_23_P40880	3.9246137	2.61251769069818e-08	0.000127576703173051	8
A_33_P3286349	4.99743715	5.78682921570425e-08	0.000192463018541343	8
A_24_P938614	4.04113415	5.8005578089058e-08	0.000192463018541343	8
A_32_P63013	3.9962529	6.18267935158224e-08	0.000192463018541343	8
A_24_P113572	4.589243125	6.19340960113147e-08	0.000192463018541343	8
A_23_P201939	3.7993227	8.39079561881697e-08	0.000213857496542044	8
A_33_P3402091	5.281110425	8.9649511201732e-08	0.000213857496542044	8
A_33_P3266928	5.8500474	1.00573040789344e-07	0.000213857496542044	8
A_23_P107247	4.266718725	1.22324107119846e-07	0.000213857496542044	8
A_33_P3338740	5.033105	1.24446909945261e-07	0.000213857496542044	8
A_23_P68487	4.830258875	1.28488351561201e-07	0.000213857496542044	8
A_33_P3285540	4.63881425	1.30163038503675e-07	0.000213857496542044	8
A_24_P312189	-2.988549225	1.32125349722764e-07	0.000213857496542044	8
A_23_P14769	-4.58181839	1.34265778742208e-07	0.000213857496542044	8
A_24_P31627	3.8772572	1.34935523462368e-07	0.000213857496542044	8
A_33_P3323945	4.05982855	1.37637566156422e-07	0.000213857496542044	8
A_23_P255672	7.306360725	1.63286831852163e-07	0.000235138893987214	8
A_32_P178966	2.96386276	1.67894452765478e-07	0.000235138893987214	8
A_32_P152195	4.7027182185	1.75089994688972e-07	0.000235138893987214	8
A_23_P32279	3.5905277	1.85610215583861e-07	0.000235138893987214	8
A_23_P146294	4.37841745	1.91012755829878e-07	0.000235138893987214	8
A_32_P125338	4.7692428	1.99487261013491e-07	0.000235138893987214	8
A_24_P3415	4.04809315	2.05658665353675e-07	0.000235138893987214	8
A_24_P940365	3.669312175	2.07520238307751e-07	0.000235138893987214	8
A_23_P141893	3.24314715	2.13243592241864e-07	0.000235138893987214	8
A_23_P134601	4.746639325	2.29808275899516e-07	0.000245485509221036	8
A_23_P7250	4.88845615	2.40202282518334e-07	0.000248813170403764	8
A_24_P114032	3.898864625	3.06938641456662e-07	0.000308590693556267	8
A_23_P76749	3.749708525	3.29351354049211e-07	0.000321663352441834	8
A_33_P3279681	3.586963525	3.63166238997742e-07	0.000337068892775344	8
A_23_P126212	-3.4260718775	3.74930151869553e-07	0.000337068892775344	8
A_32_P351968	6.743876375	3.7619780397369e-07	0.000337068892775344	8
A_23_P69100	3.2607603175	3.96890856647695e-07	0.000337068892775344	8
A_23_P390139	4.533389225	4.07271520935907e-07	0.000337068892775344	8
A_33_P3215282	6.769232475	4.14816440957851e-07	0.000337068892775344	8
A_23_P119562	5.045629525	4.38674989650175e-07	0.000337068892775344	8
A_23_P135381	4.489852375	4.57834375408684e-07	0.000337068892775344	8
A_23_P22647	4.57067435	4.72183539379433e-07	0.000337068892775344	8
A_33_P3609033	3.7966936	4.86588176814893e-07	0.000337068892775344	8
A_33_P3221114	5.46243445	4.89871596895298e-07	0.000337068892775344	8
A_24_P226278	-2.703907125	4.92335785699431e-07	0.000337068892775344	8
A_33_P3387616	3.728246225	4.94291995149178e-07	0.000337068892775344	8
A_23_P129133	5.07354995	4.99928243383004e-07	0.000337068892775344	8
A_33_P3232552	4.2214071	5.0094605357987e-07	0.000337068892775344	8
A_24_P51909	3.630849175	5.02896572317893e-07	0.000337068892775344	8
A_23_P396299	3.5780527	5.25816053565432e-07	0.000345086538433961	8
A_23_P205370	4.192811375	5.44571459249621e-07	0.000345086538433961	8
A_23_P140434	4.601472925	5.45144459978173e-07	0.000345086538433961	8
A_23_P302568	5.66341775	5.60542891540159e-07	0.000347864753442708	8
A_23_P205164	5.637503775	5.69886381908891e-07	0.000347864753442708	8
A_33_P3394213	3.043678025	6.06060903578513e-07	0.000360234487711762	8
A_23_P95231	4.225624925	6.11227811698277e-07	0.000360234487711762	8
A_23_P17354	3.4280779	6.27491149603412e-07	0.000363551355371075	8
A_33_P3344264	-2.5596227625	6.64372438124233e-07	0.000371011851702259	8
A_23_P414654	5.170224	6.67249091729005e-07	0.000371011851702259	8
A_33_P3424207	-3.334634065	6.72929081869353e-07	0.000371011851702259	8
A_23_P211909	5.37672525	6.96865045068155e-07	0.000378110124374043	8
A_33_P3266873	-2.738246425	7.2471422902241e-07	0.000380146735927194	8
A_23_P319626	4.25008935	7.29931667440456e-07	0.000380146735927194	8
A_23_P110266	3.2824643075	7.33981352461598e-07	0.000380146735927194	8
A_32_P60635	4.203055375	7.97160995137696e-07	0.000393343732196193	8
A_32_P66035	2.660209865	7.99248201976927e-07	0.000393343732196193	8
A_23_P31739	5.17729145	8.00341634078862e-07	0.000393343732196193	8
A_33_P3409467	3.9193709825	8.35906273641138e-07	0.000393343732196193	8
A_33_P3316118	3.4230453	8.38422106354416e-07	0.000393343732196193	8
A_33_P3274084	4.81180015	8.38548935283757e-07	0.000393343732196193	8
A_33_P3319542	5.197540125	8.49506795431292e-07	0.000393343732196193	8
A_23_P307382	4.0485857	8.51517894348602e-07	0.000393343732196193	8
A_33_P3310189	5.88585065	8.78615853092564e-07	0.000396450016827789	8
A_23_P126167	3.7056692	8.89152582447617e-07	0.000396450016827789	8
A_23_P161297	5.646294975	8.93036049958744e-07	0.000396450016827789	8
A_33_P3418681	3.92379575	9.73930233187477e-07	0.000426818681551891	8
A_24_P9883	-3.1157568775	9.92858237120881e-07	0.000429605988854469	8
A_23_P111724	3.842052975	1.02587931205909e-06	0.000438345406551449	8
A_33_P3374987	3.2884742	1.04557690836022e-06	0.000440063349257812	8
A_33_P3396214	6.07292175	1.05564738727264e-06	0.000440063349257812	8
A_33_P3239152	-3.28481531	1.12651568389764e-06	0.000454942019041412	8
A_24_P224488	4.362301925	1.13095676503756e-06	0.000454942019041412	8
A_23_P73632	4.00752597875	1.1312661737858e-06	0.000454942019041412	8
A_23_P500433	-3.92962489	1.18244607380608e-06	0.000469994815592016	8
A_23_P156861	4.611753075	1.22636200504535e-06	0.000481847499062817	8
A_33_P3270104	3.51119531	1.30039873333107e-06	0.000495821524987089	8
A_33_P3313283	4.4088104	1.31299113947315e-06	0.000495821524987089	8
A_23_P204158	2.9737754	1.32664250555305e-06	0.000495821524987089	8
A_33_P3230698	6.8557752	1.33139229428793e-06	0.000495821524987089	8
A_24_P255100	3.741931575	1.33445222182992e-06	0.000495821524987089	8
