gene	log2FC	p	padj	n
DDR1				6
RFC2				6
HSPA6				6
PAX8				6
GUCA1A				6
MIR5193				6
THRA				6
PTPN21				6
CCL5				6
CYP2E1				6
EPHB3				6
ESRRA				6
CYP2A6				6
GAS6				6
MMP14				6
TRADD				6
CHURC1-FNTB				6
PLD1				6
DTX2P1-UPK3BP1-PMS2P11				6
BAD				6
PRPF8				6
CAPNS1				6
RPL35				6
MIR6805				6
EIF4G2				6
EIF3D				6
PARK7				6
SRP14				6
GDI2				6
RPL11				6
ARF3				6
RPL21				6
RPL24				6
HNRNPC				6
SEPT2				6
HNRNPA1				6
RPS27A				6
LOC100508408				6
FAU				6
TARDBP				6
CFL1				6
RPL18				6
EIF3F				6
RPS5				6
RPL27				6
RPL34				6
NARS				6
STARD7				6
RPL19				6
SLC25A3				6
RPS11				6
RPL9				6
DDX5				6
RPL6				6
CTDNEP1				6
RPL10A				6
CBX3				6
C18orf32				6
PSMB2				6
KHDRBS1				6
ATP6V1G2-DDX39B				6
RTCB				6
ERH				6
GATC				6
ABCF1				6
DAD1				6
YY1				6
JTB				6
KAT7				6
ZNF146				6
SART1				6
ILF2				6
SPAG7				6
ZPR1				6
TAF10				6
C1D				6
NONO				6
LOC101929240				6
RHOA				6
RNPS1				6
RPS24				6
RPL30				6
NPM1				6
HSP90AB1				6
ARF1				6
IK				6
SNX3				6
CANX				6
SART3				6
CNPPD1				6
SMNDC1				6
HNRNPM				6
HNRNPD				6
RPL14				6
GUK1				6
KXD1				6
OAZ1				6
ATP6V0B				6
KARS				6
H3F3A				6
RPS6				6
RPS7				6
USP22				6
C11orf58				6
TCEB2				6
COX4I1				6
TMED2				6
NBEAL1				6
RPL4				6
FNTA				6
RPS25				6
RPL37				6
HINT1				6
EEF2				6
RPS10				6
ATP6V0E1				6
HNRNPK				6
ANAPC5				6
RPS3A				6
HNRNPU				6
EIF3A				6
HSP90B1				6
MSN				6
ACTN4				6
APP				6
PRKAR1A				6
DSP				6
RAD21				6
WDR1				6
NCL				6
AP2B1				6
AP2M1				6
CLTC				6
MLEC				6
LASP1				6
SF3B2				6
TMEM59				6
CSRP1				6
CALM1				6
MATR3				6
CAP1				6
PTGES3				6
WARS				6
SET				6
NDRG1				6
UBB				6
PFN1				6
PTPRF				6
YWHAZ				6
SOD1				6
HDLBP				6
MARCKSL1				6
GABARAP				6
NUCB1				6
EIF3C				6
GLUL				6
LDHA				6
GNB2L1				6
SSR2				6
P4HB				6
SLC25A5				6
PHB				6
S100A11				6
CTSA				6
TOMM20				6
CD63				6
DNAJB1				6
SPARC				6
UBE2D3				6
XBP1				6
SPTBN1				6
LAPTM4A				6
RPL32				6
CD81				6
UBE2L3				6
PTTG1IP				6
GRN				6
HMGB1				6
GLO1				6
SRSF11				6
SF3B3				6
EEF1G				6
HSPA9				6
YWHAQ				6
DDX24				6
PPP2R1A				6
GSN				6
HK1				6
KDELR2				6
NPC2				6
DYNLL1				6
LITAF				6
EEF1B2				6
PRKCSH				6
GOT2				6
FKBP1A				6
ACADVL				6
SKP1				6
MAPRE1				6
OS9				6
RPL13A				6
RPL7				6
ACTR1A				6
CAPRIN1				6
RPL10				6
PPP1CC				6
ACTR2				6
PTP4A1				6
NACA				6
GPX1				6
PGK1				6
SUMO3				6
RPS27				6
TPP1				6
GNB1				6
NUMA1				6
FTH1				6
RAN				6
CAPN1				6
MIR636				6
CALU				6
NFE2L1				6
ARL6IP5				6
DPYSL2				6
RPLP1				6
CTNNA1				6
CTSD				6
FAM120A				6
MAT2A				6
LAMC1				6
LOC100506248				6
PTMA				6
BZW1				6
ATF4				6
GNAS				6
RPS15A				6
ANXA5				6
STMN1				6
LRP1				6
PSMB7				6
PEA15				6
ECH1				6
ODC1				6
IQGAP1				6
XRCC6				6
ACO2				6
DAZAP2				6
SPARCL1				6
MCL1				6
HSPA1A				6
ACTB				6
SARS				6
TMBIM6				6
LMAN2				6
HSPD1				6
ZYX				6
RPL12				6
CIRBP				6
CCT7				6
PAFAH1B1				6
PSME1				6
ATP5O				6
RPS15				6
PSMD8				6
LAMP2				6
TPI1				6
RPL29				6
GSTP1				6
HYOU1				6
SNRPD2				6
PLOD1				6
ZNF207				6
PSMD2				6
SCD				6
RAP1B				6
RPS21				6
MAP4				6
BCAP31				6
CTSB				6
EPRS				6
PRDX6				6
PPP1CA				6
SARAF				6
AHCYL1				6
IST1				6
GNB2				6
H2AFZ				6
NCOR1				6
RPS8				6
FLNA				6
CNOT1				6
DHCR24				6
RAB11A				6
PSAP				6
RNF114				6
RPL18A				6
STRAP				6
S100A10				6
CCT8				6
MIR1292				6
PSMB1				6
CCT4				6
EPAS1				6
DNAJA1				6
PSMD4				6
UQCRC2				6
CKB				6
RHOC				6
PGAM1				6
STAT1				6
RPL23				6
SSR1				6
TRA2B				6
FKBP4				6
HDGF				6
PALLD				6
MGEA5				6
M6PR				6
SEP15				6
AHCY				6
HLA-E				6
RPLP2				6
CCT3				6
TACC1				6
EIF4A2				6
PPM1G				6
KTN1				6
TAGLN2				6
SRPR				6
PHC2				6
BTG1				6
KDELR1				6
LGALS3BP				6
SLC3A2				6
COX6A1				6
RPS23				6
RAB14				6
TMED10				6
VCL				6
DCTN2				6
RPS4X				6
DEK				6
CALR				6
RPL8				6
RPL5				6
RERE				6
HSBP1				6
HMGN1				6
SEC31A				6
GLUD1				6
MLF2				6
RPS20				6
ARPC1A				6
CCND2				6
ATP6V0C				6
IMMT				6
SSRP1				6
SDCBP				6
FUS				6
CLTA				6
SEPHS2				6
RPL31				6
UBA1				6
ABLIM1				6
ALDOA				6
PPIB				6
LOC101928061				6
SERP1				6
TSPAN3				6
ACTA2				6
PPT1				6
TAX1BP1				6
MDH1				6
PDHA1				6
ANXA6				6
CD59				6
SERPING1				6
PSME3				6
HIF1A				6
TRIM28				6
SNX17				6
IPO7				6
ACTR3				6
RBM14-RBM4				6
CKAP4				6
AARS				6
TMEM189				6
SSR4				6
CD9				6
PRDX2				6
HADHB				6
TXNIP				6
RPN1				6
ANXA1				6
PAICS				6
JUP				6
EIF1AX				6
YWHAH				6
DSTN				6
TAF7				6
EIF5B				6
CD99				6
LDHB				6
HNRNPH1				6
BLCAP				6
RPLP0				6
ADD3				6
HADH				6
PFKP				6
ANP32A				6
RAD23A				6
GNAI2				6
DUSP1				6
TGM2				6
RAB6A				6
RPS18				6
PLD3				6
PSMF1				6
HNRNPA0				6
GOLGB1				6
MYL9				6
CTTN				6
STOM				6
RCN1				6
LOC100996696				6
GTF2I				6
CYC1				6
PSMC2				6
MMP2				6
SF3B1				6
SMARCC1				6
NHP2L1				6
ANXA2				6
TM9SF2				6
SYNGR2				6
PIP4K2B				6
DCTN1				6
BCLAF1				6
SON				6
PXN				6
KPNA2				6
ATP6V1B2				6
TUBA1B				6
RBBP7				6
SDHA				6
RPS29				6
DAP				6
ARF4				6
COPB2				6
USP9X				6
PFKL				6
NBPF10				6
LGALS1				6
GPX4				6
THBS1				6
CSE1L				6
TUFM				6
PSMA7				6
POLD2				6
CPE				6
PGD				6
COX8A				6
PGRMC1				6
EIF5A				6
ITGB5				6
MGAT1				6
ACLY				6
SRSF7				6
CDH1				6
HNRNPH2				6
PJA2				6
COX7C				6
ECHS1				6
PLP2				6
HLA-DPB1				6
SSB				6
RAB5C				6
GPNMB				6
EIF2S1				6
HAX1				6
NFE2L2				6
TIMP3				6
MBNL1				6
MFN2				6
NMT1				6
YBX3				6
IGFBP7				6
PUM1				6
ARHGDIA				6
BHLHE40				6
NUDC				6
TERF2IP				6
TMX2				6
ARCN1				6
UBA2				6
FBXO7				6
GNAI3				6
CHD4				6
HTRA1				6
LRPAP1				6
ITPR3				6
PITPNA				6
IDH1				6
SEPW1				6
SLC7A5				6
AMD1				6
PSMD1				6
CREG1				6
CSTB				6
PCNA				6
RRBP1				6
TNFAIP1				6
HDAC1				6
DDX3X				6
LGMN				6
PPP1R7				6
PLS3				6
ERP29				6
RNU86				6
CTBP2				6
SNRNP70				6
RAD23B				6
SRRM1				6
NDUFB8				6
ARIH2				6
ENO1				6
PSMD13				6
ILK				6
BTG2				6
CAPZA2				6
SPCS2				6
DDX1				6
ATP1B1				6
RAF1				6
LOC101927673				6
SREBF2				6
SLC2A1				6
PKM				6
PSMC4				6
CDIPT				6
BAG6				6
COX7A2L				6
RPS16				6
SYPL1				6
BGN				6
TARS				6
COPE				6
TXNRD1				6
PSMC3				6
NME1-NME2				6
NUDCD3				6
RALY				6
AKR1B1				6
SRP9				6
PSMA5				6
FDPS				6
RAB5B				6
HNRNPAB				6
DAB2				6
ADRM1				6
OGDH				6
TRAK1				6
APEH				6
MKRN1				6
SDC1				6
ARHGDIB				6
CYR61				6
SEC11A				6
TOP2A				6
LOC101060363				6
WSB1				6
MOB1A				6
PRNP				6
ANXA4				6
EIF4A3				6
NDUFA5				6
ANP32B				6
SEPT11				6
NREP				6
SH3BGRL				6
ENO2				6
STK25				6
IFITM2				6
PSMA2				6
MYL12A				6
SMARCC2				6
ATP5B				6
EBNA1BP2				6
EMP1				6
CCT6A				6
ETS2				6
RARS				6
STAT6				6
ARHGEF12				6
VAMP3				6
GTF3A				6
SCP2				6
ENC1				6
SNRPC				6
UBE2D2				6
ADIPOR2				6
GRHPR				6
GPX3				6
SLC9A3R1				6
FLOT2				6
YME1L1				6
BAZ2A				6
SF3A1				6
COPB1				6
CST3				6
TMEM109				6
IVNS1ABP				6
