gene	log2FC	p	padj	n
ENOX2	-553.854624375	1.10909581161632e-09	2.30847202229821e-05	8
ZBTB45	-3698.02582	8.74468904601264e-09	9.10059789018536e-05	8
SDHD	-1934.23193418333	3.74553811384254e-08	0.00021132171939512	8
RRP1B	-791.78158725	4.06114575564754e-08	0.00021132171939512	8
IDNK	-454.57155595	5.48542200737228e-08	0.000228347147322893	8
SSU72	-3035.74762125	7.38188235668619e-08	0.000256077498953444	8
MED20	-336.20677627125	1.32162147636864e-07	0.000331107511304822	8
MGRN1	-6227.8036796575	1.38331176193296e-07	0.000331107511304822	8
TRAPPC1	-1284.685729375	1.43171307857375e-07	0.000331107511304822	8
MLLT1	-3838.474340375	1.81150224065073e-07	0.000377046076369043	8
ZXDB	-933.138377725	2.0553637709874e-07	0.000388912195721199	8
CCDC97	-2918.801608	2.63832982989168e-07	0.000457618308994712	8
AATF	-2607.654127	3.80626029815444e-07	0.000590571588114259	8
PCSK7	-423.7124947625	3.97232739194755e-07	0.000590571588114259	8
GDAP2	-133.0671479125	4.83268208666765e-07	0.000670582966346003	8
RAE1	2198.5448325	5.67663451807486e-07	0.000736631231959503	8
ELOVL6	-311.4252375	6.01649415936944e-07	0.000736631231959503	8
FAM3C	-778.542137375	6.44367091298555e-07	0.000745103146571562	8
INPP5A	-532.9826671375	7.50940267814052e-07	0.000771144717559886	8
MRPL36	-1969.700603	7.88308774168537e-07	0.000771144717559886	8
EHD2	-4549.35470625	8.41655933227216e-07	0.000771144717559886	8
DIMT1	-3840.63467025	8.66124546251903e-07	0.000771144717559886	8
STK33	-123.9893350975	8.93270137792648e-07	0.000771144717559886	8
ZNF24	1329.557889625	8.946906493258e-07	0.000771144717559886	8
TOR1A	-2033.416182	9.26233205486554e-07	0.000771144717559886	8
DPP9	-753.287058175	1.0114259539632e-06	0.000809685377145775	8
HMBOX1	797.7757211875	1.06202084688921e-06	0.000818700070635259	8
VAMP7	-5247.58970625	1.16239910250561e-06	0.000864077675698277	8
UBTD1	-4079.04153875	1.2835309483026e-06	0.000921221143378283	8
MON1A	-1389.12415825	1.58447628839774e-06	0.00109930964889035	8
EEF2K	-633.98075755	1.70841350662658e-06	0.00114706189441696	8
MID1IP1	-3700.42703875	1.83266121662183e-06	0.00119203158008646	8
CCDC92	-1989.908363375	2.11931412358739e-06	0.00132245629773761	8
U2AF2	-14857.494645	2.16025339305654e-06	0.00132245629773761	8
ELOF1	-1274.8383325	2.3261109629695e-06	0.00138031410101487	8
YES1	-852.668158125	2.38739827215026e-06	0.00138031410101487	8
GLCE	-345.937575825	2.48675653321974e-06	0.00139890136439015	8
ATN1	-782.32513125	2.67724745537713e-06	0.00143314969749875	8
ZNF317	-387.5133177	2.68534823688149e-06	0.00143314969749875	8
YOD1	3586.73944375	2.94291453194845e-06	0.00153134557669937	8
FNIP2	1226.48448165	3.28269337004742e-06	0.00164232863793878	8
CHCHD4	961.3165915	3.4190445792721e-06	0.00164232863793878	8
BAP1	-1165.821131	3.51522593345555e-06	0.00164232863793878	8
SDF2	-2414.51750075	3.71009715228719e-06	0.00164232863793878	8
ASPH	1671.37081078333	3.7233937381154e-06	0.00164232863793878	8
