gene	log2FC	p	padj	n
Rap guanine nucleotide exchange factor (GEF) 6	-2.7955954	3.67189969350634e-06	0.0222588267632594	8
mex-3 homolog B (C. elegans)	2.421780525	4.8671608141193e-06	0.024787036798422	8
uncharacterized LOC100130580	-1.9586486	5.23285695283749e-06	0.024787036798422	8
fin bud initiation factor homolog (zebrafish)	1.539471275	5.74064902972503e-06	0.024787036798422	8
uncharacterized LOC100131101	-1.663364625	7.51910448292702e-06	0.024787036798422	8
RUN and FYVE domain containing 2	-2.17940375	8.38260996796208e-06	0.024787036798422	8
potassium voltage-gated channel, KQT-like subfamily, member 1	1.807898475	9.82429433746262e-06	0.024787036798422	8
alpha thalassemia/mental retardation syndrome X-linked	-1.10300605	1.25136101622179e-05	0.0257039393285771	8
N-acetylneuraminic acid phosphatase	-1.3386232	1.40064789295425e-05	0.0268508074659198	8
tenascin C	1.30242325	1.54569817473702e-05	0.0268508074659198	8
chloride intracellular channel 6	2.480722	1.72478118468697e-05	0.0268508074659198	8
tenascin N	0.93628675	1.97719275076915e-05	0.0268508074659198	8
nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	-1.800919725	2.01573515633336e-05	0.0268508074659198	8
FLYWCH-type zinc finger 1	1.874256	2.19167068567491e-05	0.0268508074659198	8
DAB2 interacting protein	1.5544542	2.45203478591034e-05	0.0268508074659198	8
lipoprotein lipase	1.78417	2.50766266174344e-05	0.0269865305321568	8
myocardial zonula adherens protein	1.873937925	2.54057649719427e-05	0.0269865305321568	8
vacuolar protein sorting 53 homolog (S. cerevisiae)	1.369119125	2.59041263726229e-05	0.0271441031387992	8
abhydrolase domain containing 5	-1.151890125	2.73023389241057e-05	0.0279421363657813	8
speedy homolog E1 (Xenopus laevis)	-1.7040798	2.78896362375683e-05	0.028161940504106	8
carcinoembryonic antigen-related cell adhesion molecule 21	2.44534225	2.90241206649258e-05	0.0288106262362705	8
leucine rich repeat and Ig domain containing 1	1.9618239	3.0966921090419e-05	0.0290196386969894	8
regucalcin (senescence marker protein-30)	1.4382366	3.1547918558254e-05	0.0290196386969894	8
chromosome 6 open reading frame 132	1.43547785	3.27313687667125e-05	0.0295577565397872	8
uncharacterized LOC100127885	-1.375516525	3.64034602419817e-05	0.031013813275294	8
sorting nexin 29	-2.161496925	3.74704601019619e-05	0.031013813275294	8
SH3 and PX domains 2A	1.33665825	3.81358664679812e-05	0.031013813275294	8
V-set and transmembrane domain containing 4	2.2164274	4.16420888094627e-05	0.031013813275294	8
Scm-like with four mbt domains 2	-1.397038575	4.1704332792915e-05	0.031013813275294	8
ankyrin repeat domain 26	-1.18902855	4.22192579188424e-05	0.031013813275294	8
PROP paired-like homeobox 1	2.0049225	4.2718388229284e-05	0.031013813275294	8
