gene	log2FC	p	padj	n
MTND1P23	3.99873559332439			18
MTND2P28	0.214474652918136	0.409930404687995	0.788805475687506	18
MTCO1P12	0.0065522260650664	0.982829127730798		18
MTCO2P12	-1.77646598665579	0.0566017599879562		18
MTATP6P1	0.281941083653398			18
MTCO3P12	0.897917390481855	0.222201231123925		18
LINC01409	0.168394295522145	0.683956947774342		18
LINC01128	0.347529021442538	0.262776231261962		18
NOC2L	-0.197155215225428	0.252999712309871		18
KLHL17	-0.270284749169612	0.59438027881805		18
PLEKHN1	-0.425372229510798	0.473689615853674		18
ISG15	0.129781235140099	0.704528438737702		18
AGRN	-0.475433887586563	0.0841388221236348		18
C1orf159	0.186514889749189	0.559293601934164		18
SDF4	1.29760249475415	0.000169343449155135		18
B3GALT6	0.480035797290349	0.142573192841471		18
UBE2J2	0.0723563396271948	0.648667230178698		18
PUSL1	0.190847950709442	0.585654089057485		18
INTS11	0.0943353801165232	0.572867675521828		18
CPTP	0.0125622696560014	0.969505528123579		18
DVL1	0.70478633227678	0.0561014478084489		18
MXRA8	0.167395912791283	0.586214012993094		18
AURKAIP1	0.292195544490983	0.0982850557871092		18
CCNL2	0.0688586926401456	0.756262993912991		18
MRPL20-AS1	-0.0431881302336573	0.838917767200769		18
MRPL20	0.237614762482468	0.231072957122495		18
ANKRD65	0.450555922997239	0.308487701124089		18
VWA1	0.300484629645661	0.359029950853535		18
ATAD3C	0.415671958443603	0.37181330774539		18
ATAD3B	0.29783386314909	0.333466955081985		18
ATAD3A	0.364903217128135	0.235218356152648		18
SSU72	0.270283936981191	0.136156082727335		18
FNDC10	0.39659671255085	0.329620698124561		18
MIB2	1.19765076061009	0.00512149019880336		18
CDK11B	0.109654150678693	0.543819125888852		18
SLC35E2B	-0.372923642800079	0.11382322037191		18
NADK	-0.0803306841528605	0.680634090903473		18
GNB1	0.127354584443028	0.408412637775921		18
CFAP74	1.15306662260165	0.0286738301031416		18
PRKCZ	0.25085393115875	0.404468016731749		18
FAAP20	0.607666040024512	0.00132601582360976		18
SKI	1.09291939345992	2.97895211874514e-05		18
MORN1	0.0718492244834379	0.775197209890639		18
RER1	-0.0635592517809052	0.666636853926048	0.90602369088879	18
PEX10	0.167028326988323	0.439524633921751		18
ARHGEF16	0.177009167817391	0.516033728680427		18
MEGF6	-0.84139938659626	0.0247293403737663		18
TPRG1L	0.0740594227058455	0.694386880192756		18
WRAP73	-0.273550060457343	0.160649449571485		18
TP73	0.304371612802568	0.465588715399177		18
LRRC47	0.522702819190328	0.0460524554950878		18
CEP104	0.109648489565528	0.539051784947068		18
DFFB	-0.083642352605512	0.757222249391969		18
C1orf174	-0.160850757898739	0.488170908139363		18
NPHP4	0.0186034934949673	0.954347320109635		18
KCNAB2	-0.16687930155835	0.676293693203666		18
RPL22	0.12086295164624	0.515059381978601		18
RNF207	-0.298344607182415	0.473093811555493		18
ICMT	-0.0277639384178447	0.868079429963101		18
GPR153	0.218029023264522	0.667860588415008		18
ACOT7	-0.174200919658055	0.582098318315584		18
HES2	-1.32782021354733	0.00150100195865333		18
TNFRSF25	-0.69334537580503	0.0475177963458467		18
PLEKHG5	0.0616846920196812	0.839837682586175		18
NOL9	0.180328259707977	0.320303527529042		18
ZBTB48	-0.0618459202857504	0.774308988513002		18
KLHL21	-0.641813656988689	0.0137513754270119		18
PHF13	-0.127803167794438	0.605612012306924		18
THAP3	0.235940664906602	0.188682883342835		18
DNAJC11	-0.228598003028916	0.196415484018497		18
CAMTA1	0.36860468553161	0.0430258695648112		18
VAMP3	-0.240913738368884	0.226780573026615		18
PER3	0.518956877080038	0.197778661279543		18
PARK7	0.280991963229289	0.148677655692246	0.532263764176709	18
ERRFI1	-0.372780518998235	0.152881877400527	0.539333289718525	18
SLC45A1	-0.00984527971543352	0.982397696905		18
RERE	0.0184620594608721	0.933475950711857		18
ENO1	-0.413344298117512	0.0254973729976998	0.251237046003197	18
GPR157	0.039304417865248	0.842412662176342		18
H6PD	-0.158442575347187	0.404499276532179		18
SPSB1	-0.368618312478806	0.134850919269059		18
