gene	log2FC	p	padj	n
IFI27	1.14586273416144	1.52428459047757e-92	1.41209724461842e-88	6
IGF2BP2	0.841059577087149	1.24438770990149e-39	5.76400387226368e-36	6
BST2	1.69985595889173	4.0249125733153e-34	1.24289300263976e-30	6
GDF15	0.359801489656018	9.8230580471816e-25	2.27502024372726e-21	6
UBE2L6	0.536234079442696	7.86403845337836e-24	1.45704904464194e-20	6
PARP12	0.449299734462612	8.73492017717064e-21	1.34867167535515e-17	6
CDKN1A	0.303052680987231	6.42197696853687e-20	8.49902780521794e-17	6
RRAD	0.397913124843922	1.30700907710144e-19	1.51351651128347e-16	6
IFI6	1.18884659763476	2.16811481074531e-18	2.23171284519384e-15	6
IFITM1	1.72692870354811	4.70968271615837e-17		6
DHX58	0.689192105471583	3.97320784134179e-16	3.68077974421903e-13	6
IFITM3	0.757375274847074	1.35100810181728e-15	1.13779445956685e-12	6
RP11-326C3.17	1.37165652286945	7.87882492651307e-15		6
SHISA5	0.302096980404186	9.1247026855576e-15	7.04427047325047e-12	6
SQSTM1	0.247429290344216	3.20197862439045e-14	2.28177922895024e-11	6
HERC6	0.717832851665261	3.19796486785846e-13	2.11613903827434e-10	6
LINC02574	1.07475749421071	5.17868308538215e-13	3.19835467353202e-10	6
RP11-468E2.4	0.418424688884169	6.51955521581974e-13	3.77482246995963e-10	6
ABHD4	0.26854349596675	6.5142438935042e-12	3.54987973114252e-09	6
MCM4	-0.337993731135838	7.34181696473639e-12	3.77858846451766e-09	6
SLC15A3	0.704618225987973	1.34164732209636e-11	6.54158989047402e-09	6
PKMYT1	-0.525230481241165	1.49642261239046e-11	6.9314295405926e-09	6
MKI67	-0.422502064447643	1.93450526654925e-11	8.53393180443442e-09	6
TMEM140	0.506813631606813	2.13872882654278e-11	9.00599265867834e-09	6
EPSTI1	0.617941734185764	2.61699088592336e-11	1.05407841596496e-08	6
IFITM2	0.314324936517497	3.20859858157106e-11	1.23851905248643e-08	6
TAP1	0.329440534031024	6.84723593754233e-11	2.53731174901569e-08	6
SHFL	0.473309547261218	1.30634813221295e-10	4.65461888339261e-08	6
OAS2	1.4249652656241	1.39940487599763e-10	4.80151361897853e-08	6
HLA-E	0.227281877283245	1.57542998082397e-10	5.21242262226901e-08	6
MCM3	-0.353468405296477	1.91184460653755e-10	6.10735463274616e-08	6
BNIP3	0.29605058713999	2.30716894591222e-10	7.12453770497693e-08	6
NDRG1	0.300679132001834	7.71467200160875e-10	2.30544262654527e-07	6
SLC3A2	0.217446022615616	1.58067321095071e-09	4.5760489457023e-07	6
HMOX1	0.333851773641697	1.84874408316444e-09	5.18992884437436e-07	6
TYMS	-0.292848200092005	2.09374606342816e-09	5.70484221517602e-07	6
ACIN1	0.253064526600517	3.20656016352571e-09	8.4873066728292e-07	6
ZNFX1	0.337299484950368	3.68039233103503e-09	9.3266431763267e-07	6
GRINA	0.261126085791169	3.72501940332565e-09	9.3266431763267e-07	6
