gene	log2FC	p	padj	n
7892501				3
7892502				3
7892503				3
7892504				3
7892505				3
7892506				3
7892507				3
7892508				3
7892509				3
7892510				3
7892511				3
7892512				3
7892513				3
7892514				3
7892515				3
7892516				3
7892517				3
7892518				3
7892519				3
7892520				3
7892521				3
7892522				3
7892524				3
7892525				3
7892526				3
7892527				3
7892528				3
7892529				3
7892530				3
7892531				3
7892532				3
7892533				3
7892534				3
7892535				3
7892536				3
7892537				3
7892538				3
7892539				3
7892540				3
7892541				3
7892542				3
7892543				3
7892544				3
7892545				3
7892547				3
7892548				3
7892549				3
7892550				3
7892551				3
7892552				3
7892553				3
7892554				3
7892555				3
7892556				3
7892557				3
7892558				3
7892559				3
7892560				3
7892561				3
7892562				3
7892563				3
7892564				3
7892565				3
7892566				3
7892567				3
7892568				3
7892569				3
7892570				3
7892571				3
7892572				3
7892573				3
7892574				3
7892575				3
7892576				3
7892577				3
7892578				3
7892579				3
7892580				3
7892581				3
7892582				3
7892583				3
7892584				3
7892585				3
7892586				3
7892587				3
7892588				3
7892589				3
7892590				3
7892591				3
7892592				3
7892593				3
7892594				3
7892595				3
7892596				3
7892597				3
7892598				3
7892599				3
7892600				3
7892601				3
7892602				3
7892603				3
7892604				3
7892605				3
7892606				3
7892608				3
7892609				3
7892610				3
7892611				3
7892612				3
7892613				3
7892614				3
7892615				3
7892616				3
7892617				3
7892618				3
7892619				3
7892620				3
7892621				3
7892622				3
7892623				3
7892624				3
7892625				3
7892626				3
7892627				3
7892628				3
7892629				3
7892630				3
7892631				3
7892632				3
7892633				3
7892634				3
7892635				3
7892636				3
7892637				3
7892638				3
7892639				3
7892640				3
7892641				3
7892642				3
7892643				3
7892644				3
7892645				3
7892646				3
7892647				3
7892648				3
7892649				3
7892650				3
7892651				3
7892652				3
7892653				3
7892654				3
7892655				3
7892656				3
7892657				3
7892658				3
7892659				3
7892660				3
7892661				3
7892662				3
7892663				3
7892664				3
7892665				3
7892666				3
7892667				3
7892668				3
7892669				3
7892670				3
7892671				3
7892672				3
7892673				3
7892674				3
7892675				3
7892676				3
7892677				3
7892678				3
7892679				3
7892680				3
7892681				3
7892682				3
7892683				3
7892684				3
7892685				3
7892686				3
7892687				3
7892688				3
7892689				3
7892690				3
7892691				3
7892692				3
7892693				3
7892694				3
7892695				3
7892696				3
7892697				3
7892698				3
7892699				3
7892700				3
7892701				3
7892702				3
7892703				3
7892704				3
7892705				3
7892706				3
7892707				3
7892708				3
7892709				3
7892710				3
7892711				3
7892712				3
7892713				3
7892714				3
7892715				3
7892716				3
7892717				3
7892718				3
7892719				3
7892720				3
7892721				3
7892722				3
7892723				3
7892724				3
7892725				3
7892726				3
7892727				3
7892728				3
7892729				3
7892730				3
7892731				3
7892732				3
7892733				3
7892734				3
7892735				3
7892736				3
7892737				3
7892738				3
7892739				3
7892740				3
7892741				3
7892742				3
7892743				3
7892744				3
7892745				3
7892746				3
7892747				3
7892748				3
7892749				3
7892750				3
7892751				3
7892752				3
7892753				3
7892754				3
7892755				3
7892756				3
7892757				3
7892758				3
7892759				3
7892760				3
7892761				3
7892762				3
7892763				3
7892764				3
7892765				3
7892766				3
7892767				3
7892768				3
7892769				3
7892770				3
7892771				3
7892772				3
7892773				3
7892774				3
7892775				3
7892776				3
7892777				3
7892778				3
7892779				3
7892780				3
7892781				3
7892782				3
7892783				3
7892784				3
7892785				3
7892786				3
7892787				3
7892788				3
7892789				3
7892790				3
7892791				3
7892792				3
7892793				3
7892794				3
7892795				3
7892796				3
7892797				3
7892798				3
7892799				3
7892800				3
7892801				3
7892802				3
7892803				3
7892804				3
7892805				3
7892806				3
7892807				3
7892808				3
7892809				3
7892810				3
7892811				3
7892812				3
7892813				3
7892814				3
7892815				3
7892816				3
7892817				3
7892818				3
7892819				3
7892820				3
7892821				3
7892822				3
7892823				3
7892824				3
7892825				3
7892826				3
7892827				3
7892828				3
7892829				3
7892830				3
7892831				3
7892832				3
7892833				3
7892834				3
7892835				3
7892836				3
7892837				3
7892838				3
7892839				3
7892840				3
7892841				3
7892842				3
7892843				3
7892844				3
7892845				3
7892846				3
7892847				3
7892848				3
7892849				3
7892850				3
7892851				3
7892852				3
7892853				3
7892854				3
7892855				3
7892856				3
7892857				3
7892858				3
7892859				3
7892860				3
7892861				3
7892862				3
7892863				3
7892864				3
7892865				3
7892866				3
7892867				3
7892868				3
7892869				3
7892870				3
7892871				3
7892872				3
7892873				3
7892874				3
7892875				3
7892876				3
7892877				3
7892878				3
7892879				3
7892880				3
7892881				3
7892882				3
7892883				3
7892884				3
7892885				3
7892886				3
7892887				3
7892888				3
7892889				3
7892890				3
7892891				3
7892892				3
7892893				3
7892894				3
7892895				3
7892896				3
7892897				3
7892898				3
7892899				3
7892900				3
7892901				3
7892902				3
7892903				3
7892904				3
7892905				3
7892906				3
7892907				3
7892908				3
7892909				3
7892910				3
7892911				3
7892912				3
7892913				3
7892914				3
7892915				3
7892916				3
7892917				3
7892918				3
7892919				3
7892920				3
7892921				3
7892922				3
7892923				3
7892924				3
7892925				3
7892926				3
7892927				3
7892928				3
7892929				3
7892930				3
7892931				3
7892932				3
7892933				3
7892934				3
7892935				3
7892936				3
7892937				3
7892938				3
7892939				3
7892940				3
7892941				3
7892942				3
7892943				3
7892944				3
7892945				3
7892946				3
7892947				3
7892948				3
7892949				3
7892950				3
7892951				3
7892952				3
7892953				3
7892954				3
7892955				3
7892956				3
7892957				3
7892958				3
7892959				3
7892960				3
7892961				3
7892962				3
7892963				3
7892964				3
7892965				3
7892966				3
7892967				3
7892968				3
7892969				3
7892970				3
7892971				3
7892972				3
7892973				3
7892974				3
7892975				3
7892976				3
7892977				3
7892978				3
7892979				3
7892980				3
7892981				3
7892982				3
7892983				3
7892984				3
7892985				3
7892986				3
7892987				3
7892988				3
7892989				3
7892990				3
7892991				3
7892992				3
7892993				3
7892994				3
7892995				3
7892996				3
7892997				3
7892998				3
7892999				3
7893000				3
7893001				3
7893002				3
7893003				3
7893004				3
7893005				3
7893006				3
7893007				3
7893008				3
7893009				3
7893010				3
7893011				3
7893012				3
7893013				3
7893014				3
7893015				3
7893016				3
7893017				3
7893018				3
7893019				3
7893021				3
7893022				3
7893023				3
7893024				3
7893025				3
7893026				3
7893027				3
7893028				3
7893029				3
7893030				3
7893031				3
7893032				3
7893033				3
7893034				3
7893035				3
7893036				3
7893037				3
7893038				3
7893039				3
7893040				3
7893041				3
7893042				3
7893043				3
7893044				3
7893045				3
7893046				3
7893047				3
7893048				3
7893049				3
7893050				3
7893051				3
7893052				3
7893053				3
7893055				3
7893056				3
7893057				3
7893058				3
7893059				3
7893060				3
7893061				3
7893062				3
7893063				3
7893064				3
7893065				3
7893066				3
7893067				3
7893068				3
7893069				3
7893070				3
7893071				3
7893072				3
7893073				3
7893074				3
7893075				3
7893076				3
7893077				3
7893078				3
7893079				3
7893080				3
7893081				3
7893082				3
7893083				3
7893084				3
7893085				3
7893086				3
7893087				3
7893088				3
7893089				3
7893090				3
7893091				3
7893092				3
7893093				3
7893094				3
7893095				3
7893096				3
7893097				3
7893098				3
7893099				3
7893100				3
7893101				3
7893102				3
7893103				3
7893104				3
7893105				3
7893106				3
7893107				3
7893108				3
7893109				3
7893110				3
7893111				3
7893112				3
7893113				3
7893114				3
7893115				3
7893116				3
7893117				3
7893118				3
7893119				3
7893120				3
7893121				3
7893122				3
7893123				3
7893124				3
7893125				3
7893126				3
7893127				3
7893128				3
7893129				3
7893130				3
7893131				3
7893132				3
7893133				3
7893134				3
7893135				3
7893136				3
7893137				3
7893138				3
7893139				3
7893140				3
7893141				3
7893142				3
7893143				3
7893144				3
7893145				3
7893146				3
7893147				3
7893148				3
7893149				3
7893150				3
7893151				3
7893152				3
7893153				3
7893154				3
7893155				3
7893156				3
7893157				3
7893158				3
7893159				3
7893160				3
7893161				3
7893162				3
7893163				3
7893164				3
7893165				3
7893166				3
7893167				3
7893168				3
7893169				3
7893170				3
7893171				3
7893172				3
7893173				3
7893174				3
7893175				3
7893176				3
7893177				3
7893178				3
7893179				3
7893180				3
7893181				3
7893182				3
7893183				3
7893184				3
7893185				3
7893186				3
7893187				3
7893188				3
7893189				3
7893190				3
7893191				3
7893192				3
7893193				3
7893194				3
7893195				3
7893196				3
7893197				3
7893198				3
7893199				3
7893200				3
7893201				3
7893202				3
7893203				3
7893204				3
7893205				3
7893206				3
7893207				3
7893208				3
7893209				3
7893210				3
7893211				3
7893212				3
7893213				3
7893214				3
7893215				3
7893216				3
7893217				3
7893218				3
7893219				3
7893220				3
