gene	log2FC	p	padj	n
DDR1				23
RFC2				23
HSPA6				23
PAX8				23
GUCA1A				23
MIR5193				23
THRA				23
PTPN21				23
CCL5				23
CYP2E1				23
EPHB3				23
ESRRA				23
CYP2A6				23
SCARB1				23
TTLL12				23
LINC00152				23
WFDC2				23
MAPK1				23
ADAM32				23
SPATA17				23
PRR22				23
PXK				23
VPS18				23
MSANTD3				23
SLC46A1				23
TIMD4				23
SLC39A5				23
ZDHHC11				23
ATP6V1E2				23
AFG3L1P				23
CILP2				23
PIGX				23
TMEM196				23
SLC39A13				23
BEST4				23
AK9				23
CORO6				23
TMEM106A				23
ALG10				23
TTC39C				23
NEXN				23
C15orf40				23
RAX2				23
MFAP3				23
EYA3				23
GIMAP1				23
KLK8				23
CCDC65				23
FAM122C				23
CCDC11				23
ARMCX4				23
RBBP6				23
CENPBD1				23
TRIOBP				23
CATSPER1				23
HOXD4				23
GSC				23
SP7				23
PDE7A				23
CNOT7				23
CRYZL1				23
PRSS33				23
C19orf26				23
MCMDC2				23
TIRAP				23
LEAP2				23
MSI2				23
SCIN				23
CTCFL				23
C4orf33				23
ZNF333				23
TVP23C				23
RDH10				23
SRSF12				23
FAM71A				23
GAPT				23
FLJ30901				23
ERICH5				23
CCDC185				23
ENTHD1				23
TSSK3				23
WFDC6				23
CLEC12A				23
BRF1				23
C15orf27				23
BACH1				23
CALML6				23
NLRP5				23
ODF4				23
CLEC4F				23
DEFB106A				23
WFDC9				23
NEDD1				23
TTLL10				23
CALR3				23
C10orf25				23
ETV3				23
KLHL10				23
TM2D3				23
ZNF485				23
WDR17				23
MFSD6L				23
CDH23				23
ANKAR				23
MEGF11				23
GPR182				23
ESX1				23
C8orf12				23
LOC653486				23
DNAJC5G				23
WDR88				23
PRUNE2				23
MBD3L2				23
ADAMTSL1				23
MBD3L1				23
FAM46D				23
SERPINB11				23
LINC00161				23
DSCR10				23
ABHD11				23
ACAP2				23
GAMT				23
PLCD3				23
IRF6				23
PTPRC				23
MAN1A2				23
RAPH1				23
SMCR8				23
LACTB				23
BNC1				23
MPP4				23
LACE1				23
IDI2				23
CYP11B1				23
TAF8				23
COBL				23
SLAMF6				23
ZSCAN20				23
GPBAR1				23
RHBDL2				23
FRAS1				23
BRSK1				23
CRB2				23
KCNE4				23
CD300LG				23
SLC34A3				23
CPA6				23
WBP2NL				23
HIPK1				23
MTBP				23
ACVR1C				23
TMEM74				23
TIGD4				23
ART5				23
FAM71C				23
C21orf67				23
NLRP11				23
ATP6V1C2				23
CLDN19				23
VTI1A				23
KIF6				23
IQCD				23
TAGAP				23
STON2				23
SERPINA12				23
LETM2				23
BSND				23
CLEC4C				23
NLRC4				23
PRSS36				23
ZDHHC15				23
RAI1				23
CDK15				23
ZNF570				23
AF131215.4				23
NUDT9P1				23
BTBD16				23
RTP3				23
TSPEAR				23
MIPOL1				23
C6orf141				23
ALMS1P				23
MYO3B				23
ADAM21				23
TRIML2				23
ABCC13				23
IL12RB1				23
GTF2A1L				23
TRPV3				23
CNBD1				23
ABCC12				23
MMP21				23
TMEM190				23
GAS2L2				23
KCNG4				23
PXT1				23
CACNG5				23
LINC00308				23
FAM223A				23
WFDC11				23
IFNL2				23
JAK1				23
CDC42SE2				23
ACACB				23
RFWD2				23
