gene	log2FC	p	padj	n
LOC100652939	0.0703372077231753	0.487329814066694	0.925789656506222	9
NOC2L	-0.206921044592749	0.488589559506613	0.925789656506222	9
ISG15	2.506754179147			9
AGRN	0.221857089953108	0.520876285511636	0.934685220577211	9
SDF4	0.0302748434561106	0.867355332377705	0.992855779595717	9
B3GALT6	-0.172786176314583	0.624670448315708	0.966659513239756	9
UBE2J2	-0.275986024557655	0.302787303981188	0.792875394624749	9
ACAP3	-0.463239251998864	0.269803195961948	0.755617535413727	9
PUSL1	-0.649425148874131	0.124295097319448	0.519219939917223	9
CPSF3L	-0.206637040978631	0.422622117591877	0.890414451196856	9
GLTPD1	-0.0873756967427716	0.814326391280808	0.988285746351064	9
DVL1	-0.283912963431054	0.316974074138736	0.811536232619651	9
MXRA8	-0.538974871520437	0.102839869329773	0.467325499397599	9
AURKAIP1	-0.282924429027437	0.156194417030187	0.579312984080269	9
CCNL2	0.152033044256898	0.497284575562391	0.92928677509766	9
MRPL20	-0.218334618403876	0.22824934521033	0.693782294411038	9
ATAD3B	-0.321167457858276	0.467319973778396	0.913856822758935	9
ATAD3A	-0.35721965720325	0.288280527760391	0.777730767125643	9
SSU72	0.169789849829878	0.307898193541473	0.800381793445292	9
MIB2	0.405339455578489	0.411236379976772	0.885444421874696	9
CDK11B	-0.122263827782303	0.715624844707849	0.978344926464883	9
SLC35E2B	0.325731383723039	0.419076745044402	0.888013553252653	9
CDK11A	-0.0203164018000957	0.949054302024639	0.99961430902382	9
NADK	0.00676911097661081	0.978956282654539	0.99961430902382	9
GNB1	-0.0855176953998314	0.461240659114539	0.909705599419065	9
PRKCZ	-0.0289606595467162	0.95213808636536	0.99961430902382	9
C1orf86	0.231474694147319	0.39356427634704	0.875085001784368	9
SKI	0.0709326718801489	0.810887466469718	0.988285746351064	9
RER1	-0.0992681670280722	0.637297181924844	0.971526986553565	9
PEX10	-0.175386707483416	0.659794655978024	0.974758857882002	9
PANK4	-0.523455755844764	0.251133175194876	0.729984739666572	9
TNFRSF14	-0.316312959461799	0.486570235856347	0.925789656506222	9
C1orf93	-0.181645812387376	0.610859076151994	0.962021294632866	9
