gene	log2FC	p	padj	n
DCAF4L2	-6.87084888	3.91638416901634e-11	7.67415477918753e-07	12
SLC45A4	-7.17658362	5.32963295095314e-10	5.22170788369634e-06	12
SLC40A1	4.2981918627	1.45937202422248e-09	8.39399993976761e-06	12
LOC100506865	-7.429735081	1.71349832911817e-09	8.39399993976761e-06	12
WDR67	-3.808347136	4.14835010674761e-09	1.39597561099798e-05	12
TEX12	-7.74176978	4.27448515743194e-09	1.39597561099798e-05	12
KCNG4	-4.17861928	6.30301316686618e-09	1.76439347149633e-05	12
C13orf30	-6.2352846	1.18721446135778e-08	2.90793342128822e-05	12
CCDC158	-3.5317490575	1.33563511372204e-08	2.90797445037593e-05	12
ABCC3	3.434150491	1.68240049144771e-08	3.29666376299178e-05	12
LOC541473	-5.46891598	2.56148523896752e-08	4.56293665977896e-05	12
PIK3R5	-4.229911035	2.88676411741303e-08	4.59036491503057e-05	12
LOC100129858	-4.77053184	3.04540668004069e-08	4.59036491503057e-05	12
CGB1	-7.822851485	4.39287938120375e-08	6.14846224819197e-05	12
LOC389043	-7.20041496	5.98533921710308e-08	7.36138478385814e-05	12
ABI3	-4.786163195	6.01082707536261e-08	7.36138478385814e-05	12
CD3E	-2.904452385	6.98214834512709e-08	8.04795275428032e-05	12
NSUN7	4.193885585	7.61327701588724e-08	8.28789795146169e-05	12
ATXN3L	-5.48167831	1.40150247401481e-07	0.000137323288612742	12
XAGE-4	-7.7418776	1.40161560206933e-07	0.000137323288612742	12
EFTUD1	-3.22297608	1.71251478824643e-07	0.000148135725991937	12
SULT4A1	-3.069772025	1.71659492586063e-07	0.000148135725991937	12
RAP1GAP	-4.61416802	1.73877096086479e-07	0.000148135725991937	12
HAPLN4	-3.18060333	2.16070748989534e-07	0.00017641276360208	12
RBM22	-3.155757547	2.85604298797502e-07	0.000223856649397482	12
ZCCHC13	-5.50190365	3.30442078221468e-07	0.000249038943182679	12
CYB5R2	2.475279055	4.56973320273038e-07	0.000331644155953711	12
OSTBETA	-10.04944326	5.31477076505189e-07	0.000371939046932827	12
P2RX7	3.881277225	7.25947797102035e-07	0.000490515416697047	12
PCDHB2	-4.99671118	7.94374149426984e-07	0.000518858715267392	12
COL9A3	-3.59684418	9.07185785267557e-07	0.000573429208461864	12
VPS18	-3.93832709	9.69236949288288e-07	0.00059350618816575	12
LOC100507520	-8.28876153	1.01368097891706e-06	0.000601911478238784	12
SETBP1	3.26282172125	1.14948177221589e-06	0.000662473391957952	12
SLC10A1	-4.25179361	1.34057061874617e-06	0.000750528036409461	12
TTR	-5.75297884	1.46347934866442e-06	0.000781493921648605	12
TMPRSS3	-3.80823264	1.47564557800451e-06	0.000781493921648605	12
ZNF552	-3.5131796875	1.56394835529982e-06	0.000792553428088073	12
SUSD5	3.1029282	1.57742197986399e-06	0.000792553428088073	12
FAM107B	-1.8561781	1.90968300313273e-06	0.000935505961159648	12
PPFIBP2	3.017869022	2.25616255508227e-06	0.00107828061626432	12
HTN3	-3.52016029	2.54117822908482e-06	0.00116729066873852	12
CABP7	-9.740475006	2.5615462493369e-06	0.00116729066873852	12
KLF8	2.651280615	2.66734012791484e-06	0.00118787567742025	12
IL12RB2	-4.9703184	2.78099421919863e-06	0.00121096848278216	12
ZNF608	2.43126389	2.91259590955218e-06	0.00124070254016685	12
C8B	-4.13377236	3.47427059555767e-06	0.00144847515574367	12
LOC645752	-5.81189735	4.1453330363653e-06	0.00167563351202954	12
C1orf21	2.03685507	4.19015269657807e-06	0.00167563351202954	12
RNF150	-4.07612	5.39680590968036e-06	0.00211500823600373	12
LOC257358	-3.73089833	5.98665408027252e-06	0.00226799408652329	12
TM4SF4	-3.61152823	6.01866254142439e-06	0.00226799408652329	12
KIAA1462	3.27590890965	6.15410913189663e-06	0.00227070009336955	12
FAM174B	4.421783184	6.26871723397015e-06	0.00227070009336955	12
WNT2B	-4.89449659	6.37348839680148e-06	0.00227070009336955	12
SPATA6	3.9422643	7.4393939615588e-06	0.00260312365494187	12
C8orf12	-3.55525929	8.2097022683597e-06	0.00282226519207909	12
PPP1R14A	-5.01812889	8.7691209405655e-06	0.00294270015936529	12
LOXL2	-2.62470687	9.06237854089534e-06	0.00294270015936529	12
ZNF219	3.0149948545	9.06983715352504e-06	0.00294270015936529	12
FAM110B	3.342566048	9.16074048080034e-06	0.00294270015936529	12
CFI	4.701712535	1.05413835311924e-05	0.00333158726280185	12
SH3RF1	-1.865088845	1.16056525230093e-05	0.00354878259563386	12
CDKN2A	3.307528305	1.17571327140235e-05	0.00354878259563386	12
C11orf20	-2.45073175	1.17719249153458e-05	0.00354878259563386	12
SLC30A2	-3.056109645	1.24201928864141e-05	0.00368747999408007	12
BATF3	2.416429797	1.38632934486959e-05	0.00405449604667456	12
MGC39584	-3.875828815	1.41374046924172e-05	0.00406300103918087	12
MARK1	3.981188516	1.43070717888992e-05	0.00406300103918087	12
PPP6R1	-3.8026443425	1.51615094380153e-05	0.0042360938510052	12
HMBOX1	-3.04988428356667	1.55479505094423e-05	0.0042360938510052	12
ADD3	3.076345793	1.57265421542785e-05	0.0042360938510052	12
C1orf173	-3.08029971166666	1.57813141680725e-05	0.0042360938510052	12
MYCNOS	-3.560533695	1.60317202467798e-05	0.00424277223994494	12
PRKAA2	2.17092735666667	1.63059701795878e-05	0.00424277223994494	12
MPP4	-1.804595205	1.6455763727268e-05	0.00424277223994494	12
PLCB2	-3.1633923525	1.672975199243e-05	0.00425739597781383	12
NANOS1	2.632157805	1.78901855745809e-05	0.00443631571115182	12
USP44	2.82785158	1.79838193315315e-05	0.00443631571115182	12
ABCG2	2.74761727	1.81120314821202e-05	0.00443631571115182	12
N4BP2L1	2.45127852	1.95458876749522e-05	0.00472841566655171	12
DUSP7	-2.497674765	1.98346001967749e-05	0.00473974379092444	12
IGFLR1	1.603468962	2.01131127593281e-05	0.00474839089781969	12
TNNI3	-2.31220237	2.14824599639766e-05	0.00501129527373954	12
KLRG2	-1.42081875	2.36126618274004e-05	0.00544341304126954	12
LRRC2	-3.22774149066667	2.44226189063328e-05	0.00556466531941386	12
BPY2B	-3.30660046	2.65913874102744e-05	0.00598917512993479	12
HS6ST3	2.607614635	2.73687199875466e-05	0.00609420531995427	12
IQCG	-1.9181111375	3.05371896898231e-05	0.00666395955767457	12
PLCD4	2.99690909	3.06076223623736e-05	0.00666395955767457	12
PVR	-2.420342022	3.22463974134732e-05	0.00694360612436272	12
EPS8L2	2.879059987	3.51946721578178e-05	0.00749608261883086	12
HPSE	4.326769965	3.74787373464404e-05	0.00789672965917741	12
CISH	-2.82984283	3.87158055383068e-05	0.00807059797365023	12
SALL2	2.84501076	3.91303448755616e-05	0.00807114850354346	12
CCDC66	-2.782727497	4.26475998983855e-05	0.00870499708342566	12
PPM1F	-2.26370027	4.51820204091663e-05	0.00912723391667642	12
STARD8	2.91265027	4.61303554255027e-05	0.00918781776776185	12
RGMB	-2.4379264625	4.72101053334103e-05	0.00918781776776185	12
PLXNC1	2.92582075	4.72447550074501e-05	0.00918781776776185	12
TSKU	2.0697669197	4.73574684635849e-05	0.00918781776776185	12
CLSTN2	2.92890474	4.82477666787866e-05	0.00926877439285121	12
COX17	-2.971744122	5.13269786697398e-05	0.0097130327145806	12
RPA4	-7.76810478	5.16500564087591e-05	0.0097130327145806	12
LOC100506125	2.6658241	5.20473812212791e-05	0.0097130327145806	12
SMURF2	-2.424994456	5.49610687666189e-05	0.0101600202120934	12
KCNS3	2.913052947	5.57080604166766e-05	0.0101824209836797	12
INSR	2.98196953	5.61215343831288e-05	0.0101824209836797	12
PCDH17	-4.712174255	5.90918760550284e-05	0.0106229845073237	12
GMFG	-2.92072391	6.02238094497529e-05	0.0107280504197082	12
LOC100130776	2.0842126558	6.11839536185144e-05	0.0108008970374305	12
ZFYVE28	1.443694632	6.48661698377324e-05	0.0113486839104497	12
SOX11	-4.66204148	6.68288373538669e-05	0.0115115532103309	12
