gene	log2FC	p	padj	n
SFRP2	10.3756631615	1.79282355083061e-11	5.30711627516876e-07	12
FIBIN	10.0310559481667	1.10424778472748e-09	1.63439714617514e-05	12
COL10A1	5.481505375	6.9998750148678e-09	6.46288679527608e-05	12
AC006262.6	4.98564387916667	9.67375919332613e-09	6.46288679527608e-05	12
PLA2G3	-4.32543152733333	1.09163009176341e-08	6.46288679527608e-05	12
COL8A1	3.034923518	1.71212110462629e-08	8.06010310547939e-05	12
BHLHE22	5.493586001	1.9059766819254e-08	8.06010310547939e-05	12
PTGIS	3.65172031283333	3.00529497609793e-08	0.000111203427353064	12
GPR150	4.95751754783333	3.66416603727137e-08	0.000120518492261452	12
ZFHX4-AS1	4.12233686666667	4.6900375854035e-08	0.000138834492603115	12
PLK1	-2.56579579766667	5.61222459866776e-08	0.000145077452786699	12
FNDC1	2.918213082	5.88112098317813e-08	0.000145077452786699	12
E2F2	-2.79433802883334	7.6230650594931e-08	0.000153543363416363	12
ITGA11	3.94411511341667	7.62407135556129e-08	0.000153543363416363	12
CEND1	-2.83674650516667	7.78038798474915e-08	0.000153543363416363	12
CDCA7	-4.26632221516667	9.26613378003683e-08	0.000170678334166175	12
HEY2	-3.0943795645	9.88142797463865e-08	0.000170678334166175	12
MAD2L1	-2.85729329183333	1.03783866461427e-07	0.000170678334166175	12
VWC2L	-3.77435217833333	1.12841952178353e-07	0.000175807761493874	12
KIF15	-3.62122526983333	1.40882311149378e-07	0.000208519908732194	12
OVOL2	-4.20643988016667	1.76064550810346e-07	0.000227511047029703	12
CYS1	3.2937131485	1.80170621586039e-07	0.000227511047029703	12
CLDN3	-3.557925829	1.84403925133776e-07	0.000227511047029703	12
SRRM4	-4.23900284916667	1.84455953270484e-07	0.000227511047029703	12
ACBD7	-3.41633202366667	1.94504989684808e-07	0.000227799513028937	12
MS4A8	-4.1044566365	2.00080647887047e-07	0.000227799513028937	12
KRTAP1-5	-3.0903988495	2.23835754142088e-07	0.000245406888670892	12
FOXJ1	-3.84814258816667	2.39642622059033e-07	0.000253353603506839	12
EDN3	-2.51246481196667	2.88007820549229e-07	0.000285921893224316	12
GLT1D1	-3.50463427216667	2.96578527344128e-07	0.000285921893224316	12
COL11A1	4.98680140863333	2.99424994593399e-07	0.000285921893224316	12
EN2	-3.69731355983333	3.30287388394696e-07	0.000305536477226868	12
PLN	4.46388791566667	3.54383162438551e-07	0.00031789243559109	12
CCNB1	-3.14652159066667	4.12741100757373e-07	0.000349465949823775	12
EYA2	-2.779779524	4.13191954727117e-07	0.000349465949823775	12
RND3	-2.90445681275	4.46096399210512e-07	0.000366815155817489	12
MSX1	-4.13542762966667	4.90020490426988e-07	0.000392042879935667	12
INMT	3.30945015311111	5.63699912968392e-07	0.000439122232202378	12
ZFHX4	4.126969574	5.93975307798816e-07	0.000444119427750668	12
C2CD4C	-3.254892835	6.00120840146839e-07	0.000444119427750668	12
SCG2	5.294630319	6.37274385991356e-07	0.000460112106685759	12
ST14	-2.08135740183333	6.81433959373016e-07	0.000480281144413334	12
ADCYAP1R1	-2.9687954404	7.34001798727595e-07	0.000505300494091494	12
DLX5	-2.88433830866667	8.23894263167447e-07	0.000554293590415517	12
PYY	-2.55538308466667	8.47010604806662e-07	0.000557182398299707	12
LINC01279	2.97956243766667	8.8066680781695e-07	0.000566728235760812	12
GPR88	2.83393688566667	9.78402748357005e-07	0.000616227194826895	12
FANCA	-2.23009782705556	1.16483381901822e-06	0.000718362723137026	12
FZD7	3.16086833733333	1.20372885510834e-06	0.000727199623855453	12
GATA2	-2.05842345711111	1.29682135622601e-06	0.000767770115740049	12
SCNN1A	-2.22886354377778	1.36645127708081e-06	0.000779255652555959	12
hsa-mir-711	-3.22815015633334	1.36887014164279e-06	0.000779255652555959	12
FCGR1A	3.47147558866667	1.40737358130086e-06	0.000779587664103157	12
PRR15	-3.09132511525	1.42212464906326e-06	0.000779587664103157	12
FZD10	-2.95834150333333	1.46578020128451e-06	0.000788909554880438	12
RP11-13P5.2	2.66562770608333	1.55124133779974e-06	0.000819997251456211	12
MEOX2	3.868237036	1.60534319766193e-06	0.00083370823398576	12
WSCD2	2.73573394225	1.64162395293272e-06	0.000837850900943353	12
AC187652.1	2.3350665835	1.69881834850467e-06	0.000852346114448055	12
NUAK1	2.00149226716667	1.76171331587845e-06	0.00086782590873552	12
HSD11B2	-3.18650482166667	1.82646714853769e-06	0.00086782590873552	12
H2AFY2	-2.29732903766667	1.84406683054022e-06	0.00086782590873552	12
DUSP2	-4.849338859	1.84693710730146e-06	0.00086782590873552	12
HIST1H3H	-2.75475949883334	1.96567966785911e-06	0.00090918827387446	12
SPC25	-2.47111190733333	2.01849324226764e-06	0.00091925287627087	12
C10orf107	-2.83194867216667	2.08881605837802e-06	0.000936865650910698	12
CENPM	-2.38882393902778	2.15088514456846e-06	0.000950306000739039	12
SHISA2	3.24843509633333	2.24528193059297e-06	0.000956649893752691	12
TEKT1	-4.11877339	2.25267408558902e-06	0.000956649893752691	12
SBK1	-2.8543118835	2.28935818097329e-06	0.000956649893752691	12
PIP5K1B	-3.1954889445	2.2945119402892e-06	0.000956649893752691	12
ZNF839	-2.28822245183333	2.37172637108765e-06	0.000963564367019426	12
PGR	-2.762789731	2.37619751342538e-06	0.000963564367019426	12
GTSE1	-3.85015987033333	2.60130811463835e-06	0.00101500047144958	12
ZCCHC5	3.005187647	2.60795842709029e-06	0.00101500047144958	12
MEX3A	-2.230796863	2.61846362041776e-06	0.00101500047144958	12
RP5-1172A22.1	3.84178707716667	2.64019445651028e-06	0.00101500047144958	12
ASF1B	-3.59547723283333	2.67797575390052e-06	0.00101632613162773	12
MFAP5	3.44910205836667	2.75821716531803e-06	0.0010335284117436	12
LINC00312	3.40950082516667	2.99794959715501e-06	0.00109699942658454	12
NOG	-3.72190638133333	3.01630459324576e-06	0.00109699942658454	12
ARG2	-2.65543849266667	3.03877957502642e-06	0.00109699942658454	12
HID1	-2.78500102066667	3.08967428801977e-06	0.0010989464037011	12
COL7A1	-3.2822677895	3.11842098205839e-06	0.0010989464037011	12
FAM162B	-2.33381416916667	3.24301265582696e-06	0.00111285448521558	12
pri-3-hsa-mir-3943	1.9624056115	3.24944597232368e-06	0.00111285448521558	12
PRPH	2.16177166283333	3.27066888094573e-06	0.00111285448521558	12
CSTA	3.86789773825	3.40104842072414e-06	0.00112139287113743	12
