gene	log2FC	p	padj	n
A1BG	-0.425681188029627	0.662326492536405	0.983171338937342	9
A2M	-0.36245838637076	0.491040075596302	0.944931536265188	9
A2ML1	0.5841430110849	0.665624121879524	0.984088154568007	9
A4GALT	0.276207839597702	0.374129010748413	0.905673456930873	9
AAAS	-0.154188847098118	0.642794408920027	0.980691547015745	9
AACS	0.461177228097427	0.254148688858356	0.839447034289146	9
AADAT	0.166063837759249	0.722476744356394	0.990516044835733	9
AAGAB	0.153747257692074	0.575559833909136	0.968284112085412	9
AAK1	-0.483262591891849	0.204566599686264	0.787978456688567	9
AAMDC	-0.132663412667989	0.819621561938294	0.995966406600323	9
AAMP	-0.161125393044782	0.502593267393111	0.949352252865382	9
AANAT	-0.238902322205795	0.888475474898239	0.998639733078915	9
AAR2	-0.0534230306204115	0.853496621557433	0.998639733078915	9
AARD	-1.07140959674022	0.326773581257547	0.887903506431062	9
AARS1	-0.256840863807528	0.418166789097263	0.919780432363111	9
AARS2	0.0795368382635491	0.78959646167441	0.994052363875907	9
AARSD1	-0.267042184738353			9
AASDH	0.250608077763054	0.371730100973346	0.905666124882138	9
AASDHPPT	-0.0360909208100686	0.917059673162334	0.998639733078915	9
AASS	-0.498751251526275	0.376026717063951	0.905673456930873	9
AATF	-0.6763798617436			9
AATK	-0.72612848847012	0.259240114496257	0.842792685728616	9
ABAT	0.527816939380097	0.149115264693333	0.719243108817636	9
ABCA1	0.127476114504624	0.834318288867719	0.997923366175869	9
ABCA10	-0.645351499843464	0.405783208940942	0.915238409840383	9
ABCA13	1.77027485557906	0.269244606685256	0.848695964307358	9
ABCA2	0.158250578202247	0.676386239722496	0.985627824404081	9
ABCA3	-0.254990846167973	0.587310449486838	0.971161794932015	9
ABCA4	1.09663719693268	0.175185592904844	0.751250158017082	9
ABCA5	0.416231903983575	0.456515145334127	0.936179502678112	9
ABCA6	-0.308687585898615	0.701969636682837	0.989276793964962	9
ABCA7	0.0586170608986339	0.917580941708728	0.998639733078915	9
ABCA8	0.0683895355590919	0.921168969622056	0.998639733078915	9
ABCA9	-0.143316976365607	0.86637958296048	0.998639733078915	9
ABCB1	-0.444058633481758	0.367046555056714	0.90239123320911	9
ABCB10	-0.0265444704807962	0.940398358582986	0.998639733078915	9
ABCB4	0.374237872461749	0.650819546742535	0.981292533915803	9
ABCB5	-1.03535001704955	0.541555544405283	0.959421674383867	9
ABCB6	-0.17537941138301	0.862956387857969	0.998639733078915	9
ABCB7	-0.0714830781339383	0.829316931354681	0.99746225363255	9
ABCB8	-0.799762072735146	0.0912474404181403	0.5925664179552	9
ABCB9	-0.207616895994796	0.676234900454503	0.985627824404081	9
ABCC1	0.765667278135753			9
ABCC10	-0.0959035678238586	0.723863195051094	0.990906484480126	9
ABCC11	5.14183607119859	0.00261849846905256	0.0971147133208163	9
ABCC2	-0.538802620770345	0.501555667942069	0.949348943915356	9
ABCC3	-0.0371802831338192	0.962362266339584	0.998639733078915	9
ABCC4	0.194866279408404	0.574462204775387	0.968284112085412	9
ABCC5	0.185532319450829	0.60143605019329	0.974057468095769	9
ABCC6	0.893310929984218	0.585113391124804	0.971161794932015	9
ABCC8	-2.62785099762328	0.00102763286079592	0.0568053198919513	9
ABCC9	-1.02274285915234	0.0651329776002866	0.510225051561205	9
ABCD1	-1.39494926973901	0.0609017487686044	0.497539923411091	9
ABCD2	-0.573589873329686	0.469808978110928	0.939188868595478	9
ABCD3	0.00787742039296016	0.97743088681736	0.998639733078915	9
ABCD4	0.0570780042627514	0.840124201850306	0.998604146933345	9
ABCE1	0.0727743403961533	0.794997308574903	0.994714385280344	9
ABCF1	-0.653842862012566			9
ABCF2	-0.926263602084564	0.0569256396347492	0.481401809416439	9
ABCF3	-0.0742565848054226	0.783912313595628	0.993964186291201	9
ABCG1	0.478522458786153	0.518234385553929	0.953758404613893	9
ABCG2	-0.228744453187983	0.565720592713928	0.965041713262426	9
ABCG4	-0.624532272925287	0.258093275313236	0.841946189336865	9
ABCG5	-0.416683277860603	0.641803682191118	0.980691547015745	9
ABCG8	-0.117131680267595	0.934792677952216	0.998639733078915	9
ABHD1	-0.329703956199225	0.752790112615004	0.991008075540888	9
ABHD10	-0.293445910385314	0.354995807046825	0.899926179335231	9
ABHD11	1.3137906871736	0.046959552387108	0.442354787993683	9
ABHD12	-0.778375777224208	0.0155578405266478	0.251535431253288	9
ABHD12B	-1.18649346903372	0.0966969255188563	0.608961949795781	9
ABHD13	-0.119833642464907	0.740969361096638	0.991008075540888	9
