gene	log2FC	p	padj	n
TSPAN6	-0.0787541884317829	0.685942787130873	0.980929228295297	6
DPM1	-0.211224642855833	0.352517460054406	0.893641660858576	6
SCYL3	-0.22440048254509	0.546192723921277	0.953818628549501	6
FIRRM	-0.350556799009716	0.469883271647284	0.937676974879554	6
CFH	-0.42778713493572	0.544456035899957	0.953818628549501	6
FUCA2	0.0527305465700386	0.838032346590964	0.994803067033659	6
GCLC	0.609989032765858	0.0651701990180094	0.621798791865246	6
NFYA	-0.243204892904804	0.401105116763645	0.909646768715204	6
STPG1	0.175486674323676	0.495709302697517	0.943757950846525	6
NIPAL3	0.714874308088538	0.00261908769835078	0.164291756437692	6
LAS1L	0.221274450975385	0.374276259219695	0.898706442937812	6
ENPP4	1.64911964201697	0.0705044308192217	0.629070978656357	6
SEMA3F	3.76271865405827	0.000350847910069419	0.0542293919663965	6
CFTR	1.01875357171247	0.630815500206452		6
ANKIB1	0.0427754408004184	0.888297258029166	0.997062957313078	6
CYP51A1	0.673483561729451	0.201468702503031	0.820649847380031	6
KRIT1	-0.105591869158591	0.620456033537722	0.969633439230775	6
RAD52	-0.242717725522303	0.506599579712512	0.945454929958372	6
BAD	0.300322320953003	0.289284431404123	0.865189704423773	6
LAP3	0.272014330727796	0.239204300826446	0.841156540413608	6
CD99	-0.297585273419025	0.196355629579398	0.819802131262527	6
WNT16	3.88862970365975	0.0140194772004032	0.347638052290211	6
HECW1	2.001800080547	0.213460426822986	0.83267277692311	6
LASP1	0.00554402859430167	0.979523000541379	0.999270839047047	6
SNX11	-0.132472243753867	0.591915556972499	0.963947183678214	6
M6PR	0.341731893747027	0.0942780354691867	0.685090795622637	6
KLHL13	0.323245901917133	0.559025168169011	0.956231063989297	6
ICA1	2.93821586782856	0.0777595101271309	0.650472817794598	6
DBNDD1	1.65532624030181	0.0549866577965348	0.588188889045388	6
ALS2	0.408393633916197	0.151249112143034	0.772109705672016	6
CASP10	0.502979716889276	0.390139160213774	0.906517499713437	6
CFLAR	0.214171109237505	0.445618847837729	0.930788741171119	6
TFPI	-0.61710081239939	0.277695637428031	0.858251588450068	6
NDUFAF7	-0.0606871434426447	0.837316845040643	0.994803067033659	6
RBM5	0.0168996632396438	0.939858622197771	0.998587645411841	6
MTMR7	0.155044729285039	0.704367320254936	0.981635016630728	6
SLC7A2	-1.22006193346804			6
ARF5	-0.398205168277261	0.117534044366063	0.720296552338663	6
SARM1	0.071382574998681	0.877843644877951	0.99636197193812	6
POLDIP2	0.104275595603868	0.52574169195392	0.948679072102257	6
PLXND1	-0.146340290189938	0.696457126745649	0.981443271736457	6
AK2	-0.246597433249487	0.426549447007628	0.91937287731236	6
FKBP4	-0.00352410117352786	0.98238339892248	0.999521320376963	6
KDM1A	-0.332094648345286	0.148059710667521	0.769291027360409	6
RBM6	-0.0367489189391621	0.793756039028787	0.992734401795042	6
CAMKK1	0.601781059746093	0.167929044442653	0.791616718821329	6
RECQL	-0.192244590516791	0.42985532679825	0.920698695656703	6
VPS50	0.347915419578745	0.134237006679276	0.748322060991083	6
HSPB6	0.0797387089912083	0.878240934974065	0.99636197193812	6
ARHGAP33	-0.966862318675727	0.276967075892269	0.858251588450068	6
NDUFAB1	-0.176068369545686	0.539592755318594	0.95271614431391	6
PDK4	-0.751681222016094	0.448043657100253	0.931787715690045	6
ABCB5	4.45684614882057	0.00631903071890971	0.250972819834071	6
SLC25A13	0.433528386101236	0.392766838061876	0.906517499713437	6
ST7	0.210895626012437	0.332975309041918	0.887604731383114	6
CDC27	-0.00599643741286033	0.974148789870598	0.998602435218062	6
HCCS	0.214897806867577	0.111077042274186	0.714044701976067	6
DVL2	-0.120175875294111	0.573525814078203	0.961374143614301	6
UPF1	0.030512803345247	0.850546822353223	0.995183353241092	6
SKAP2	0.255196964833642	0.363530120080213	0.897451282021684	6
SLC25A5	0.146697534381308	0.532648080521428	0.950310568998476	6
MCUB	-0.466625385757415	0.18274774017674	0.804414466050791	6
HOXA11	5.24911606114389	0.000182985210441549	0.0379926457082447	6
POLR2J	-0.226930949710584	0.31515555916122	0.875652281052415	6
DHX33	0.0457180017827054	0.84649884192865	0.995183353241092	6
THSD7A	0.0927087554115381	0.966043838192796		6
LIG3	-0.133027634832263	0.565746481236073	0.958506671189315	6
RPAP3	-0.00728564721965283	0.956519570410334	0.998587645411841	6
REXO5	0.25713174514464	0.602521651830133	0.964097572126924	6
CIAPIN1	0.0343875353443705	0.824172442915017	0.993154381608128	6
SPPL2B	-0.384590862168448	0.189424167113644	0.812543813974068	6
ATOSB	0.119509249284039	0.600878040851653	0.964097572126924	6
COPZ2	-0.474143279000657	0.375802669981236	0.898706442937812	6
PRKAR2B	0.697053229548968	0.325658255965716	0.881563354871654	6
MSL3	0.198311045662903	0.301744352339141	0.868342094619321	6
CREBBP	-0.487995431722093	0.0756764630374768	0.64584986338303	6
TSPOAP1	-0.20113240148086	0.910288907343164		6
GCFC2	0.370534917382282	0.192786923432344	0.816686869298711	6
WDR54	0.0206104269298424	0.946776565598282	0.998587645411841	6
CROT	0.0391339060619423	0.943425254699705	0.998587645411841	6
ABCB4	1.04700955727064	0.496030435362803	0.943757950846525	6
KMT2E	-0.166722028881903	0.511612224171695	0.946695318438688	6
RHBDD2	-0.0501310626519282	0.847772420008658	0.995183353241092	6
IBTK	-0.479699346536991	0.0267559737338554	0.448977503753513	6
ZNF195	0.564397407471314	0.0214635682990391	0.405803705447922	6
MYCBP2	0.331222283612384	0.0448677175467399	0.549401121993416	6
FBXL3	-0.0153043663707172	0.91854509115239	0.997896731526141	6
PDK2	0.35372219695268	0.0868051519441501	0.673518712278082	6
ITGA3	1.58862864851521	0.00159632643664548	0.127623546322846	6
ZFX	0.0465534298310304	0.81904954240518	0.993154381608128	6
LAMP2	0.21136938122275	0.102874263926451	0.699082218322508	6
GDE1	0.400929968553542	0.0751392498071441	0.645223521029124	6
REX1BD	-0.150629891230584	0.604880386266871	0.96420477043143	6
CRLF1	-1.49843513198444	0.183402571941786	0.804489485590429	6
OSBPL7	-0.811874960021443	0.0976828666488999	0.688532421035212	6
TMEM98	0.184048172672366	0.388300999998995	0.905178912788116	6
MAP3K14	0.0714599416639921	0.870680565930605	0.99636197193812	6
TMEM132A	-1.38539734710805	0.0860239280893043	0.673518712278082	6
AP2B1	0.0366216694234795	0.806053464904314	0.992734401795042	6
ZNF263	-0.157520099525585	0.287843349843759	0.86499725996079	6
SPATA20	0.115593231639756	0.573939685079641	0.961473381399673	6
TNFRSF12A	0.251288288451069	0.237859900123278	0.839591063262742	6
MAP3K9	0.30610915047541	0.700716080596992	0.981443271736457	6
RALA	-0.107815620660326	0.823835159091377	0.993154381608128	6
BAIAP2L1	-0.138708335647536	0.71918673891575	0.98529317157121	6
KDM7A	-0.538816480752099	0.162558495133681	0.782829112603749	6
ETV1	0.161570653809403	0.837179494970471	0.99478978000634	6
AGK	0.057884465473723	0.74978011474207	0.990992035741276	6
ALDH3B1	0.586054664330069	0.133629852916762	0.747855236892756	6
PHTF2	0.546219424535219	0.016954766208096	0.376131718433504	6
CCL26	0.519080595378516	0.50588842571089	0.945454929958372	6
FARP2	0.208340223123759	0.397828876878204	0.907760800371699	6
GGCT	0.0162375751503608	0.958006035302533	0.998587645411841	6
DBF4	0.160267891949868	0.704162232488686	0.981635016630728	6
TBXA2R	0.39712466212908	0.386374277935599	0.90367360123709	6
IFRD1	-0.050500703499486	0.784100819817825	0.992734401795042	6
COX10	-0.100643613105465	0.643361950519305	0.973845783011588	6
GTF2IRD1	-0.0998666839828934	0.727045598124363	0.987448285825116	6
PAF1	0.0300022142885951	0.854535009763012	0.995842338065136	6
VPS41	0.578120100880367	0.00766912857549259	0.260994990645883	6
ARHGAP44	0.0726854735173024	0.926442342348882	0.997988926538384	6
ELAC2	0.117070319326306	0.484967714027161	0.943757950846525	6
SCIN	4.21017696193691	0.0961660196382766	0.685573073164238	6
ARSD	0.674912191944035	0.242519433355519	0.844266225577733	6
PNPLA4	-0.431242333322834	0.267247583434921	0.854268425910757	6
ADIPOR2	-0.0866966446976378	0.476192779501121	0.939903317467336	6
CDKL3	0.895792589002239	0.19318411287391	0.81668872686656	6
MARK4	0.03643662657635	0.860624943994197	0.995842338065136	6
PROM1	6.53248673492982	0.000689611284793169	0.0841507244101559	6
CCDC124	-0.0302371874709143	0.876946316964338	0.99636197193812	6
PAFAH1B1	-0.0239538057907575	0.891996950023967	0.997062957313078	6
BLTP2	0.309610523255809	0.156376208640032	0.779183462812463	6
GAS7	-3.4555374294833			6
TRAPPC6A	-0.168377040284905	0.724299212782509	0.987083580919504	6
ST7L	0.171167615640879	0.496809745183777	0.943757950846525	6
RPUSD1	0.35949505918689	0.229150772100313	0.836261753005262	6
RHBDF1	0.24930468051052	0.373002073217488	0.898706442937812	6
LUC7L	-0.0893976652823153	0.69559947033415	0.981443271736457	6
TSR3	0.0597879486144861	0.758061050548498	0.992734401795042	6
PIGQ	-0.236053045462934	0.230692715954744	0.837028265948471	6
CRAMP1	-0.500161923356553	0.0565669901754659	0.593213817104491	6
TEAD3	-0.150095691288442	0.652939586977301	0.976230520956191	6
DNAJC11	0.00790032178597798	0.953116471719186	0.998587645411841	6
MYLIP	-0.994387408155541	0.00206599063054481	0.151263135060573	6
NOX1	-0.340364618268071	0.646477064758435	0.973961309898255	6
E2F2	-0.428776628696615	0.659038249634414	0.976230520956191	6
PSMB1	-0.290779175155413	0.139987065883112	0.755669411525019	6
