gene	log2FC	p	padj	n
TSPAN6	-0.154684025629043	0.473129827847336	0.733050288178047	8
DPM1	-0.412472246769563	0.151511225518253	0.40130765163287	8
SCYL3	0.238656030003422	0.411696452805349	0.685826800460836	8
C1orf112	0.131014000632873	0.635270919865902	0.837161042598841	8
FGR	1.06494970231743	0.12916519742969	0.366217474812501	8
CFH	1.00840004855394	9.14661308214267e-05	0.00244057208207925	8
FUCA2	-0.422489687250776	0.16950566849193	0.427576433405566	8
GCLC	0.20359739868393	0.416386942674113	0.689877615253422	8
NFYA	-0.328734907996479	0.134114958299476	0.374834598361426	8
STPG1	0.3098247379349	0.416940211156109	0.690160683054372	8
NIPAL3	-0.0310848089954273	0.8984476209025	0.960266080012729	8
LAS1L	-0.525448307923114	0.0213670849072497	0.12366413862239	8
ENPP4	-0.159749263725597	0.586275796837851	0.808864210078881	8
SEMA3F	0.772450681534595	0.495495594761499	0.750517070124964	8
CFTR	0.984415746306199	0.216979593694483	0.490622392682537	8
ANKIB1	-0.0647730219721855	0.643597660567018	0.841624448822637	8
CYP51A1	0.192817287526117	0.26305008903604	0.544703282313911	8
KRIT1	-0.118284294452226	0.586817371631016	0.809389815668833	8
RAD52	-0.258862291384471	0.307717903586018	0.594011651301987	8
MYH16	0.535773374285629	0.418338409477574	0.691610102011059	8
BAD	0.170475157239071	0.216688830227221	0.490558405481901	8
LAP3	-0.371754423626485	0.107532192139602	0.327512899410154	8
CD99	-0.22921419613331	0.294645581106964	0.581499560208317	8
HS3ST1	-2.63170849892114	3.06234492676639e-08	3.68446493855554e-06	8
WNT16	0.175202467920053	0.835869617424397	0.936173971515325	8
HECW1	0.743600864236492	0.214019924600844	0.487375482606069	8
MAD1L1	-0.0375410978255757	0.903326138020776	0.96243968831379	8
LASP1	1.01369764188078	4.71340543004641e-05	0.00143513074535707	8
SNX11	-0.0096586694831034	0.964632545077267	0.988424395295382	8
TMEM176A	0.395240918949531	0.0888547216413513	0.295121956503949	8
M6PR	-0.735810446645118	2.58245904408374e-06	0.000149466405082071	8
KLHL13	0.519296686982061	0.11894972184603	0.349008258659089	8
CYP26B1	0.000514042331118282	0.999413275789332	0.999765802518006	8
ICA1	0.784836154650395	0.0238464061699265	0.132161294860477	8
DBNDD1	1.35841950295102	0.0510739881529863	0.21178154364594	8
ALS2	0.4770198875487	0.00732940362347704	0.0611872669189513	8
CASP10	0.298205113607566	0.549254342200432	0.785713609527942	8
CFLAR	-0.343438728044806	0.0807601270788814	0.279459838933285	8
TFPI	-0.0287010177071397	0.92265319450005	0.972317189575061	8
NDUFAF7	0.065787463222302	0.695164258488317	0.867894920122296	8
RBM5	-0.0860385806486729	0.680459194032227	0.860686582983611	8
MTMR7	0.581931339238569	0.109781979576592	0.332173732442389	8
SLC7A2	0.27087921895428	0.535560228533057	0.776958228239848	8
ARF5	0.0742943698936668	0.760579424956068	0.904187241405345	8
SARM1	0.503991380347266	0.0547813138001766	0.220905675718283	8
